馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,マリオロード B,牡5,松山,栗東・安達,先行,99.1,12,5,,38.2,496(-12),京都,28,中3週,Y,,3,キタサンブラック,オペラハウス,
2,1,ヴァンヤール,牡6,荻野極,栗東・庄野,先行,40.6,8,3,,37.9,534(+4),阪神,281,中39週,Y,Y,3,タートルボウル,ブライアンズタイム,
3,2,ゲンパチルシファー,牡8,団野,栗東・佐々木,差し,137.0,14,8,,36.9,506(-10),阪神,84,中11週,Y,,3,トゥザグローリー,クロフネ,
4,2,リプレーザ,牡6,国分優,栗東・大根田,差し,301.6,16,14,,33.7,492(-14),京都,22,中2週,Y,,3,リオンディーズ,マンハッタンカフェ,
5,3,スレイマン B,牡6,西村淳,栗東・池添,先行,5.8,3,10,,37.7,546(0),京都,50,中6週,Y,,3,キングカメハメハ,Bertolini,
6,3,レガーメペスカ B,牡7,田口,栗東・藤野,,130.1,13,10,,39.4,494(0),京都,28,中3週,Y,,3,キズナ,チーフベアハート,
7,4,バスラットレオン,牡6,坂井,栗東・矢作,先行,46.0,9,7,,41.3,496(-6),浦和,18,中2週,,,1,キズナ,New Approach,
8,4,ウェルカムニュース B,牡5,Ｍデム,栗東・池江,先行,99.1,11,7,,39.0,492(-8),京都,28,中3週,Y,,3,サトノアラジン,フレンチデピュティ,
9,5,ハピ,牡5,菱田,栗東・大久保,差し,4.2,2,2,,36.4,484(-2),京都,50,中6週,Y,,3,キズナ,キングカメハメハ,
10,5,メイショウダジン,牡7,小沢,栗東・渡辺,差し,270.1,15,10,,36.8,466(-8),京都,15,中1週,Y,,3,トランセンド,アドマイヤマックス,
11,6,ヤマニンウルス,牡4,武豊,栗東・斉藤崇,先行,1.7,1,1,,36.0,584(+2),京都,175,中24週,Y,,3,ジャスタウェイ,スウェプトオーヴァーボード,
12,6,デシエルト,牡5,岩田康,栗東・安田,先行,19.4,5,3,,39.2,522(-8),京都,28,中3週,Y,,3,ドレフォン,キングカメハメハ,
13,7,ブルーサン,牡3,和田竜,栗東・川村,,27.9,6,2,,38.4,506(-2),京都,43,中5週,Y,,1,モーニン,ステイゴールド,
14,7,ブラックアーメット,牡6,泉谷,栗東・角田,差し,14.1,4,1,,36.7,504(0),福島,92,中12週,Y,,3,ブラックタイド,ケイムホーム,
15,8,グロリアムンディ B,牡6,,栗東・大久保,先行,39.3,7,8,,37.3,512(+2),京都,50,中6週,Y,,1,キングカメハメハ,Blu Air Force,
16,8,ラインオブソウル,牡5,松若,栗東・音無,差し,83.9,10,2,,37.6,522(+8),京都,28,中3週,Y,,3,シニスターミニスター,スマートボーイ,
