馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,パレハ,牝3,和田竜,栗東・新谷,逃げ,5.2,3,15,,34.9,428(+6),東京,62,中8週,Y,,3,サトノクラウン,ディープインパクト,,
2,2,サクソンジェンヌ,牝3,団野,栗東・高橋忠,先行,5.8,4,3,,35.0,456(+18),京都,84,中11週,Y,,3,Saxon Warrior,Dark Angel,,
3,3,セルケト,牝5,田口,栗東・藤野,先行,47.7,9,7,4歳以上1勝クラス,33.8,494(-2),京都,55,中7週,Y,,3,ディープブリランテ,Monsun,,
4,4,エニーアース,牝3,小崎,栗東・小崎,追込,396.8,11,12,ジュライフ,42.7,428(-3),川崎,17,中1週,,,2,ブリックスアンドモルタル,ハービンジャー,,
5,5,マサハヤヴァンス,牝4,河原田,栗東・坂口,差し,197.5,10,16,3歳以上1勝クラス,35.8,430(-2),小倉,20,中2週,Y,,2,サトノクラウン,ハービンジャー,,
6,6,チェレスタ,牝3,西村淳,栗東・松下,差し,1.8,1,2,3歳以上1勝クラス,33.5,488(+2),京都,49,中6週,Y,,3,ハービンジャー,ルーラーシップ,,
7,6,スナークサファイア,牝3,吉村,栗東・川村,逃げ,15.9,5,1,3歳未勝利,36.8,470(-2),小倉,13,中1週,Y,,3,シルバーステート,ハーツクライ,,
8,7,ツッチーフェイス,牝5,小沢,栗東・今野,差し,39.0,7,5,3歳以上1勝クラス,36.3,478(0),小倉,14,中1週,Y,,3,ハービンジャー,スペシャルウィーク,,
9,7,ウインリュクス,牝4,永島,栗東・吉田,差し,34.1,6,6,3歳以上1勝クラス,35.5,420(0),小倉,7,連闘,Y,,3,ハービンジャー,ステイゴールド,,
10,8,スウィートスカー,牝5,酒井,栗東・鮫島,先行,44.3,8,6,3歳以上1勝クラス,35.8,480(+2),小倉,14,中1週,Y,,3,ラブリーデイ,アドマイヤムーン,,
11,8,アクアヴァーナル,牝3,坂井,栗東・四位,先行,5.1,2,2,,35.9,446(+4),京都,84,中11週,Y,,3,エピファネイア,ディープインパクト,,
