馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,トーホウフランゴ,牝4,団野,栗東・高橋康,差し,18.8,7,4,,33.8,442(-2),小倉,14,中1週,Y,,3,トーホウジャッカル,ノヴェリスト,
2,1,ベンガン,牡7,藤懸,栗東・千田,差し,88.1,13,5,4歳以上2勝クラス,34.1,464(-4),中山,99,中13週,Y,,3,オルフェーヴル,ダンスインザダーク,
3,2,テーオースパロー,牡5,吉村,栗東・清水久,差し,258.7,16,12,4歳以上2勝クラス,34.5,498(+10),中山,99,中13週,Y,,3,ルーラーシップ,フジキセキ,
4,2,ビッグボーンリタ,牝4,西塚,栗東・高橋康,差し,342.8,17,11,,35.1,474(0),小倉,14,中1週,Y,,3,ビッグアーサー,アグネスタキオン,
5,3,ディオアステリア,牝5,小沢,美浦・小野,差し,24.2,8,10,,35.1,490(+12),函館,43,中5週,Y,,3,ザファクター,シンボリクリスエス,
6,3,ビッグドリーム,牡3,,栗東・西園正,先行,10.0,6,8,,36.3,522(-2),阪神,147,中20週,Y,,3,ビッグアーサー,Tale of Ekati,
7,4,ウインバグース,牡5,和田竜,栗東・西園正,先行,54.9,11,11,,35.2,488(+4),京都,85,中11週,Y,,3,モーリス,ゼンノロブロイ,
8,4,コスモイグローク,牡4,秋山稔,美浦・蛯名利,差し,348.5,18,13,,34.9,508(+8),小倉,14,中1週,Y,,1,ジョーカプチーノ,キングヘイロー,
9,5,バンドシェル,牡3,松山,栗東・西村,差し,6.3,3,1,3歳以上1勝クラス,33.9,478(+8),京都,42,中5週,Y,,3,バンドワゴン,ルーラーシップ,
10,5,ビップシュプリーム,牝5,荻野極,栗東・松下,差し,78.3,12,7,4歳以上2勝クラス,37.2,502(-2),京都,91,中12週,Y,,3,サトノアラジン,Exchange Rate,
11,6,ミルテンベルク,牡3,坂井,栗東・武英,差し,3.8,2,2,,33.4,492(+6),京都,49,中6週,Y,,3,モーリス,ディープインパクト,
12,6,メイショウコギク,牝4,田口,栗東・石橋,差し,53.1,10,1,3歳以上1勝クラス,34.4,444(+2),京都,49,中6週,Y,,3,サトノクラウン,ハーツクライ,
13,7,キャプテンネキ,牝3,Ｍデム,栗東・杉山晴,先行,9.8,5,4,,33.9,532(+6),京都,49,中6週,Y,,3,ダイワメジャー,キャプテンスティーヴ,
14,7,ワンダーキサラ,牝5,太宰,栗東・石橋,,8.6,4,2,,34.6,464(+2),小倉,14,中1週,Y,,3,ザファクター,Medaglia d'Oro,
15,7,シャウビンダー,牝5,酒井,栗東・須貝,差し,109.2,14,13,,35.5,416(-4),新潟,64,中8週,Y,,3,クロフネ,ゼンノロブロイ,
16,8,ミッキーチャレンジ,牡5,中井,栗東・中内田,差し,41.7,9,3,,34.2,500(-4),小倉,14,中1週,Y,,3,ジャスタウェイ,アドマイヤムーン,
17,8,ナムラアトム,牡3,西村淳,栗東・長谷川,差し,3.2,1,6,,33.4,504(+16),京都,57,中7週,Y,,3,リアルインパクト,Storm Cat,
18,8,ワンダーカタリナ,牡7,角田和,栗東・河内,差し,113.0,15,8,,34.1,508(-2),小倉,14,中1週,Y,,3,キズナ,リンドシェーバー,
