馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ジャスパーディビネ,牡2,松若,栗東・森秀,,6.6,3,,,,510(0),,,,,,,Frosted,Reload,
2,2,デンリッレハウエル,牝2,永島,美浦・林,,79.8,11,,,,400(0),,,,,,,レイデオロ,サウスヴィグラス,
3,2,ベストヒューマ,牡2,西塚,美浦・佐藤吉,,217.0,14,,,,420(0),,,,,,,ディーマジェスティ,キングズベスト,
4,3,キョウエイボニータ,牝2,松岡,美浦・伊藤伸,,34.7,9,,,,446(0),,,,,,,イスラボニータ,ハービンジャー,
5,3,テイエムバゴオウ,牡2,田中健,栗東・木原,,188.3,13,,,,454(0),,,,,,,バゴ,ネオユニヴァース,
6,4,カロローザ,牝2,戸崎圭,栗東・松永幹,,2.5,1,,,,468(0),,,,,,,ナダル,ドリームジャーニー,
7,4,オオイリブクロ,牡2,吉村,栗東・高橋一,,43.8,10,,,,406(0),,,,,,,ディスクリートキャット,ディープインパクト,
8,5,サマーブライド,牝2,的場,美浦・的場,,246.0,15,,,,444(0),,,,,,,コパノリッキー,サクラプレジデント,
9,5,ナムラクレープ,牝2,,栗東・大橋,,110.5,12,,,,458(0),,,,,,,アドミラブル,ケイムホーム,
10,6,ワンウェイトゥヘル,牡2,坂井,栗東・中村,,15.2,6,,,,464(0),,,,,,,タワーオブロンドン,Flying Spur,
11,6,バレドラパン,牝2,ルメー,美浦・奥村武,,10.8,5,,,,440(0),,,,,,,モーリス,ダイワメジャー,
12,7,イリフィ,牝2,西村淳,栗東・高野,,15.8,7,,,,414(0),,,,,,,Too Darn Hot,Invincible Spirit,
13,7,カルミアクラウン,牝2,川田,栗東・吉岡,,4.4,2,,,,444(0),,,,,,,サトノクラウン,フレンチデピュティ,
14,8,エンペラーズソード,セ2,荻野極,美浦・高木,,20.1,8,,,,470(0),,,,,,,ドレフォン,Candy Ride,
15,8,エニグマティーク,牝2,松山,栗東・小崎,,8.2,4,,,,454(0),,,,,,,モーリス,ロードカナロア,
