着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,7,エマヌエーレ,牡4,55.0,池添,1:27.7,,8,13.9,34.4,栗東平田,500(0)
2,6,10,メタルスピード,牡4,56.0,横山武,1:28.0,1.3/4,3,7.7,35.1,美浦斎藤誠,504(-16)
3,4,5,レッドバレンティア,牡4,55.0,岩田康,1:28.0,クビ,7,13.8,33.8,美浦矢嶋,462(+2)
4,5,8,ステラバルセロナ,牝4,53.0,佐々木,1:28.1,クビ,4,9.8,34.5,美浦菊川,424(+4)
5,7,12,ジャスティンアース,牡3,55.0,鮫島駿,1:28.3,1.1/4,1,2.6,34.6,栗東杉山晴,474(+2)
6,7,11,ヴァンルーラー,牝5,51.0,小林勝,1:28.4,1/2,14,181.0,35.4,栗東河嶋,454(-10)
7,8,13,ナバロン,牡5,55.0,秋山稔,1:28.4,アタマ,9,26.8,35.2,栗東杉山佳,502(+2)
8,3,4,バニシングポイント,セ6,57.0,浜中,1:28.4,ハナ,2,4.3,34.2,美浦古賀,488(-2)
9,2,2,マイネルダグラス,牡6,55.0,丹内,1:28.4,アタマ,5,12.1,34.0,美浦相沢,510(+6)
10,4,6,アスクエピソード,牡4,56.0,北村友,1:28.5,3/4,6,12.3,34.8,栗東藤原,462(+4)
11,1,1,デビッドテソーロ,牡3,54.0,高杉,1:28.6,3/4,11,37.0,34.8,美浦小手川,464(0)
12,8,14,ニシノレバンテ,牡5,55.0,永野,1:28.8,1,10,33.0,34.3,美浦栗田,486(-4)
13,3,3,プルスウルトラ,牡6,54.0,黛,1:29.0,1.1/4,13,178.3,35.5,美浦高橋文,532(+6)
14,6,9,タロントゥーズ,牡4,55.0,亀田,1:29.1,1/2,12,162.3,35.1,栗東大久保,474(0)
