馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,アメリカンランナー,牡3,Ｍデム,美浦・戸田,先行,2.7,1,4,3歳未勝利,38.8,476(-2),福島,29,中3週,Y,,3,Gun Runner,Ecclesiastic,
2,2,レーヌガレット,牝3,橋木,栗東・宮,差し,83.0,13,6,3歳未勝利,36.3,448(+6),京都,42,中5週,Y,,3,コパノリッキー,アグネスフライト,
3,2,シューンカイゼリン,牝3,小林脩,美浦・伊藤圭,差し,71.9,12,15,3歳未勝利,40.5,440(+12),東京,50,中6週,Y,,3,ドレフォン,Medaglia d'Oro,
4,3,ヴァルタリ,牡3,吉村,栗東・宮本,差し,104.1,14,12,3歳未勝利,38.7,522(+4),京都,49,中6週,Y,,3,トランセンド,エンパイアメーカー,
5,3,ライトニングゼウス,牡3,菊沢,美浦・勢司,差し,24.2,7,6,3歳未勝利,37.8,504(0),東京,49,中6週,Y,,3,ダンカーク,サクラバクシンオー,
6,4,グローリーロード B,牡3,,栗東・西園翔,先行,11.4,5,3,3歳未勝利,35.4,462(+6),小倉,21,中2週,Y,,2,ミッキーアイル,Silver Deputy,
7,4,ハナチルサト,牝3,永島,美浦・松永康,差し,16.5,6,7,3歳未勝利,36.6,416(-2),東京,64,中8週,Y,,3,トランセンド,ゼンノロブロイ,
8,5,テンメリーアーサー,牝3,国分恭,栗東・西園翔,差し,28.8,10,8,3歳未勝利,37.7,476(+4),福島,113,中15週,Y,,2,ビッグアーサー,マンハッタンカフェ,
9,5,フォルスタクラス B,牡3,三浦,美浦・上原博,,3.9,2,5,3歳未勝利,38.3,470(+4),福島,28,中3週,Y,,3,リオンディーズ,サクラバクシンオー,
10,6,メロディアスハード,牝3,長岡,栗東・杉山佳,先行,5.7,3,9,3歳未勝利,36.7,446(-2),小倉,22,中2週,Y,,3,ネオユニヴァース,Speightstown,
11,6,オールドマイン,牡3,荻野極,栗東・池江,先行,46.3,11,17,3歳未勝利,36.0,506(+10),京都,78,中10週,Y,,3,Catalina Cruiser,Consolidator,
12,7,タマエスポワール B,牡3,石川,美浦・相沢,追込,11.3,4,9,3歳未勝利,35.5,512(+8),東京,42,中5週,Y,,3,エスポワールシチー,キングヘイロー,
13,7,ドリームライク,牡3,加藤,栗東・羽月,差し,27.7,9,5,3歳未勝利,35.5,444(-4),小倉,15,中1週,Y,,2,カリフォルニアクローム,スウェプトオーヴァーボード,
14,8,ニシノサイエン B,牝3,,美浦・小手川,差し,106.5,15,6,3歳未勝利,36.1,460(0),函館,28,中3週,Y,,3,サトノダイヤモンド,ファスリエフ,
15,8,レモンシフォン,牝3,吉田豊,美浦・尾関,差し,24.2,8,4,3歳未勝利,37.1,504(+12),福島,21,中2週,Y,,3,ホッコータルマエ,キンシャサノキセキ,
