馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,コパノオーランド,牡2,河原田,栗東・村山,差し,40.7,9,4,2歳新馬,37.6,476(-4),福島,27,中3週,Y,,1,コパノリッキー,ロードカナロア,
2,1,カリスパール,牝2,橋木,栗東・村山,追込,368.5,14,8,2歳新馬,37.5,468(-8),小倉,42,中5週,Y,,1,ベルシャザール,サウスヴィグラス,
3,2,マルモリマジック,牝2,鷲頭,栗東・川村,差し,136.6,12,3,2歳未勝利,36.5,460(0),小倉,28,中3週,Y,,2,サトノアラジン,エンパイアメーカー,
4,2,ジャスパーソレイユ,牡2,松山,栗東・森秀,先行,1.7,1,2,2歳未勝利,37.0,466(-2),新潟,13,中1週,Y,,1,Mitole,ヘニーヒューズ,
5,3,デーモンスレイヤー B,牡2,西村淳,栗東・庄野,先行,11.4,4,3,2歳新馬,38.0,472(+2),新潟,14,中1週,Y,,1,ヘニーヒューズ,ブライアンズタイム,
6,3,ブルドッグワイルド,牡2,和田竜,栗東・西園正,先行,12.6,5,2,2歳新馬,37.8,470(-2),新潟,14,中1週,Y,,1,ブルドッグボス,クロフネ,
7,4,エハバンディーア,牝2,柴田裕,栗東・杉山佳,差し,397.3,16,7,2歳未勝利,36.1,416(-14),小倉,42,中5週,Y,,2,ドレフォン,ステイゴールド,
8,4,カシノシンボル,牡2,酒井,栗東・谷,差し,378.2,15,11,,36.5,422(+6),小倉,21,中2週,Y,,3,エーシントップ,Zensational,
9,5,テイエムダイスター,牝2,小沢,栗東・木原,逃げ,23.5,6,2,2歳新馬,37.8,432(-8),福島,27,中3週,Y,,1,シニスターミニスター,ディープインパクト,
10,5,アーデルリーベ,牝2,,栗東・斉藤崇,,6.9,3,2,2歳新馬,35.9,458(+4),小倉,42,中5週,Y,,1,ヘニーヒューズ,アグネスタキオン,
11,6,オデット,牝2,吉村,栗東・緒方,先行,126.1,11,5,2歳新馬,38.2,444(-8),新潟,14,中1週,Y,,1,ラブリーデイ,メイショウボーラー,
12,6,アンヘリート,牝2,川須,栗東・高橋一,差し,229.9,13,7,2歳新馬,34.9,444(0),京都,62,中8週,Y,,1,ノーブルミッション,ジェニュイン,
13,7,ドナポンド,牝2,藤懸,栗東・小林,先行,25.0,7,4,2歳新馬,37.1,484(+4),小倉,27,中3週,Y,,1,ドレフォン,ゼンノロブロイ,
14,7,ブレイジングスター,牡2,永島,栗東・高橋康,先行,33.0,8,5,2歳新馬,37.1,476(-2),小倉,27,中3週,Y,,1,モーニン,シンボリクリスエス,
15,8,ベラヴィットーリア,牝2,松本,栗東・高柳大,先行,67.7,10,7,2歳新馬,35.9,496(-2),東京,49,中6週,Y,,1,ダイワメジャー,Tapit,
16,8,リトルサムシング,牡2,坂井,栗東・野中,先行,5.2,2,2,2歳未勝利,37.5,478(-4),福島,21,中2週,Y,,2,リアルスティール,Awesome Again,
