着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,12,ビーナスローズ,牝5,56.0,永野,1:28.2,,1,3.1,35.9,栗東杉山佳,442(0)
2,2,2,ヴァシロペス,セ3,55.0,鮫島駿,1:28.4,1,8,38.6,35.4,栗東緒方,448(+4)
3,5,6,マルカシャルマン,牝4,56.0,佐々木,1:28.4,クビ,7,21.4,35.1,栗東浜田,442(-2)
4,6,8,マイネルフォルツァ,牡4,58.0,丹内,1:28.5,1/2,5,10.5,34.8,美浦金成,524(-2)
5,1,1,トラペジスト,牡3,55.0,北村友,1:28.6,3/4,3,4.3,35.3,栗東音無,524(+10)
6,6,9,フェゲフォイア,牡4,58.0,菱田,1:28.7,クビ,6,13.0,35.2,栗東岡田,454(+2)
7,3,3,セレスト,牡3,55.0,川端,1:28.8,3/4,11,55.4,34.9,栗東羽月,432(0)
8,7,11,テリオスルル,牝3,53.0,古川吉,1:29.0,1,4,8.4,35.0,美浦田島,474(-4)
9,8,13,マイネルモメンタム,牡3,55.0,横山武,1:29.0,アタマ,2,3.6,35.9,美浦相沢,474(+12)
10,4,5,テーオーヴァイナー,牡4,58.0,高杉,1:29.1,1,13,207.3,35.5,栗東藤岡,498(-8)
11,7,10,セレスティアリティ,牝4,56.0,藤岡佑,1:29.4,1.3/4,9,53.3,35.6,栗東西村,482(+4)
12,4,4,トワイライトウェイ,牡3,55.0,笹川翼,1:29.7,1.3/4,12,202.0,35.4,地方佐藤裕,462(-8)
13,5,7,アフトクラーティラ,牝4,56.0,横山和,1:30.5,5,10,55.1,36.3,美浦上原佑,484(-6)
