馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ローズブルーム,牝5,小林脩,美浦・伊藤大,差し,190.3,17,6,4歳以上1勝クラス,38.2,458(+2),東京,84,中11週,Y,,3,グランデッツァ,フレンチデピュティ,
2,1,ネイルンノ,牡3,石川,美浦・尾関,先行,12.1,7,4,3歳以上1勝クラス,32.9,452(0),新潟,22,中2週,Y,,3,ファインニードル,メイショウボーラー,
3,2,カレンナオトメ,牝3,嶋田,美浦・小野,差し,41.4,13,6,3歳以上1勝クラス,34.9,410(-6),函館,36,中4週,Y,,3,カレンブラックヒル,チーフベアハート,
4,2,ダノンフレア,牝4,戸崎圭,美浦・萩原,先行,20.0,8,15,4歳以上1勝クラス,36.5,456(0),東京,182,中25週,Y,Y,3,ロードカナロア,ディープインパクト,
5,3,シーズアクイーン,牝5,岩部,美浦・石毛,差し,516.6,18,11,,34.8,450(-4),新潟,92,中12週,Y,,3,ダノンレジェンド,ネオユニヴァース,
6,3,オコジュ,牝4,内田博,美浦・矢嶋,先行,76.4,15,5,3歳以上1勝クラス,33.6,466(+6),新潟,22,中2週,Y,,3,ロゴタイプ,ハービンジャー,
7,4,マルモリディライト,牝4,柴田大,美浦・和田雄,差し,41.4,12,3,3歳以上1勝クラス,33.6,468(-2),新潟,22,中2週,Y,,3,ダンカーク,ゼンノロブロイ,
8,4,ラクサパーナ,牝4,,美浦・矢野,先行,7.5,3,3,,34.1,442(+8),新潟,92,中12週,Y,,3,ダイワメジャー,Rahy,
9,5,ルクスパラディ,牝3,菅原明,美浦・上原佑,先行,26.7,9,11,3歳以上1勝クラス,37.4,410(+6),函館,71,中9週,Y,,3,オルフェーヴル,ロードカナロア,
10,5,イルルージュ,牝4,野中,美浦・嘉藤,,29.4,10,12,,35.6,428(-2),新潟,92,中12週,Y,,3,ミッキーアイル,ウォーニング,
11,6,ミツカネムーン,牝5,菊沢,美浦・清水英,差し,62.3,14,14,,36.2,448(-2),福島,29,中3週,Y,,3,アドマイヤムーン,スタチューオブリバティ,
12,6,クールベイビー,牝3,荻野極,美浦・矢野,逃げ,3.1,1,5,3歳1勝クラス,35.3,466(-4),中山,148,中20週,Y,,3,アルアイン,ケイムホーム,
13,7,ホウオウジュビリー,牝4,丸田,美浦・西田,先行,9.3,4,2,4歳以上1勝クラス,36.8,474(+16),中山,134,中18週,Y,,3,リアルスティール,Diesis,
14,7,チャコワールド,牡5,藤田菜,美浦・根本,追込,105.9,16,5,金沢城賞,39.1,448(-6),金沢,68,中9週,,,2,アイファーソング,アグネスデジタル,
15,7,デフィデリ,牡5,石橋脩,美浦・南田,先行,31.4,11,10,,36.0,466(+2),福島,29,中3週,Y,,3,ベーカバド,ディクタット,
16,8,トレブランシュ,牝4,吉田豊,美浦・稲垣,逃げ,10.7,6,13,4歳以上1勝クラス,36.5,422(-4),東京,105,中14週,Y,,3,オルフェーヴル,Rip Van Winkle,
17,8,ベリーベリーベリー,牝4,三浦,美浦・鈴木伸,先行,5.9,2,6,3歳以上1勝クラス,37.4,448(0),東京,63,中8週,Y,,3,シャンハイボビー,ブライアンズタイム,
18,8,パワポケビー B,牝5,津村,美浦・矢嶋,先行,9.5,5,13,3歳以上1勝クラス,39.0,496(+2),福島,50,中6週,Y,,3,アポロキングダム,ワイルドラッシュ,
