着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,2,サンマルパトロール,牡4,55.0,菱田,1:59.5,,1,4.1,37.8,栗東大橋,484(+4)
2,4,6,マテンロウガイ,牡4,55.0,角田和,1:59.8,2,4,7.8,38.4,栗東角田,504(+4)
3,3,5,ビップスコーピオン,牡4,56.0,Mデム,1:59.8,アタマ,10,21.4,38.0,美浦田島,456(+6)
4,2,3,フジマサインパクト,牡6,54.0,西村淳,1:59.8,ハナ,13,58.1,37.1,美浦菊川,422(-2)
5,5,9,フタイテンロック,牡5,53.0,加藤,2:00.2,2.1/2,7,13.1,38.9,美浦佐藤吉,480(0)
6,4,7,メイクザビート,牡4,55.0,幸,2:00.2,ハナ,3,6.0,39.1,栗東西園正,490(0)
7,7,13,クレメダンジュ,牝4,54.0,和田竜,2:00.5,1.3/4,5,9.1,39.0,栗東鈴木孝,458(-10)
8,8,15,ペイシャモノノフ,牡4,55.0,酒井,2:00.6,アタマ,2,5.7,39.7,栗東畑端,484(+4)
9,8,14,ミアステラ,牡5,52.0,西塚,2:00.8,1.1/2,12,44.5,39.8,栗東大根田,506(+12)
10,3,4,ゲンパチハマジ,牡6,53.0,鮫島駿,2:01.0,3/4,9,16.2,38.9,栗東佐々木,500(-16)
11,6,11,ダディーズウォリア,牡4,54.0,岩田望,2:01.0,クビ,6,10.1,39.4,栗東千田,466(+6)
12,1,1,サンライズジャスト,牡5,55.0,吉村,2:01.3,1.1/2,8,14.9,38.8,栗東羽月,542(+4)
13,5,8,ナリタフォルテ,牡6,55.0,小沢,2:02.5,7,14,92.1,41.4,栗東木原,590(+2)
14,7,12,ビシャモンテン,牡6,54.0,小崎,2:03.2,4,11,41.7,41.5,美浦矢嶋,508(+4)
15,6,10,ホウオウエクレール,牡7,56.0,秋山稔,2:03.4,3/4,15,134.4,42.0,栗東宮,496(-10)
