着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,10,バハルダール,牡5,57.0,水口,1:51.6,,6,15.4,37.3,栗東池江,500(-18)
2,6,9,リチュアル,セ5,57.0,団野,1:51.6,アタマ,2,5.1,37.7,栗東田中克,516(0)
3,8,12,サンデーファンデー,牡4,57.0,池添,1:51.6,ハナ,8,21.8,38.0,栗東音無,508(-16)
4,5,6,ザイツィンガー,牡8,57.0,国分恭,1:51.7,クビ,11,51.2,37.3,栗東牧田,430(-8)
5,2,2,トウセツ,牡5,57.0,Mデム,1:51.8,1/2,3,6.5,37.8,栗東杉山佳,482(-12)
6,1,1,メイショウユズルハ,牡5,57.0,菱田,1:52.2,2.1/2,10,32.7,37.6,栗東岡田,488(+4)
7,3,3,ブライアンセンス,牡4,57.0,岩田望,1:52.6,2,1,2.3,38.5,美浦斎藤誠,522(+8)
8,4,5,タイセイドレフォン,牡5,58.0,幸,1:52.9,2,4,7.5,39.0,栗東西村,504(+2)
9,7,11,サンマルレジェンド,牡6,57.0,酒井,1:54.3,8,9,27.3,40.7,栗東大橋,482(+4)
10,5,7,ハギノアトラス,セ8,57.0,小沢,1:54.4,1/2,12,87.0,40.8,栗東鮫島,478(0)
11,6,8,ロードヴァレンチ,セ5,57.0,川須,1:56.0,10,5,15.0,43.5,美浦中舘,490(-8)
12,8,13,メイショウドヒョウ,牡7,57.0,太宰,1:57.4,9,13,103.4,43.4,栗東西園正,492(-8)
13,4,4,テーオーサンドニ,牡5,57.0,鮫島駿,2:03.7,大,7,16.0,50.9,栗東高柳大,472
