馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,グロッシェン,牡3,横山武,美浦・宮田,先行,2.1,1,3,3歳1勝クラス,36.8,470(+6),東京,127,中17週,Y,,3,ニューイヤーズデイ,ステイゴールド,
2,2,ネオシルバー,牡3,田辺,美浦・小西,差し,9.8,4,6,3歳以上1勝クラス,36.0,498(+6),東京,84,中11週,Y,,3,シルバーステート,クロフネ,
3,2,グロバーテソーロ,牡3,,美浦・高木,先行,18.0,6,7,3歳以上1勝クラス,38.3,504(+2),福島,42,中5週,Y,,3,オルフェーヴル,カコイーシーズ,
4,3,マコタイガ,牡3,吉田豊,美浦・小野,差し,46.8,10,5,3歳以上1勝クラス,38.6,508(+6),新潟,22,中2週,Y,,3,アドミラブル,ノボジャック,
5,3,アオカミ,セ5,原田和,美浦・松山,差し,172.3,11,7,3歳以上1勝クラス,37.3,478(-8),東京,64,中8週,Y,,3,ラブリーデイ,ブライアンズタイム,
6,4,デフィニティーボ,牡3,津村,美浦・上原佑,先行,35.4,9,7,3歳以上1勝クラス,39.3,472(-4),福島,49,中6週,Y,,3,エピカリス,アメリカンボス,
7,4,シークレットマター,牡3,和田竜,美浦・岩戸,,27.9,8,16,3歳1勝クラス,39.0,472(+2),東京,127,中17週,Y,,2,ディスクリートキャット,ストーミングホーム,
8,5,バナマンテソーロ B,牡3,木幡巧,美浦・加藤士,先行,4.2,2,4,3歳以上1勝クラス,38.2,498(+2),新潟,29,中3週,Y,,3,ハーツクライ,Astronomer Royal,
9,5,ダイヤモンドビーチ,牡4,横山琉,美浦・鈴木慎,先行,204.2,13,8,3歳以上1勝クラス,38.2,456(-6),東京,64,中8週,Y,,3,ビーチパトロール,フジキセキ,
10,6,ピコニ,牡3,石橋脩,美浦・牧,差し,7.6,3,4,3歳以上1勝クラス,37.1,496(+6),東京,78,中10週,Y,,2,シニスターミニスター,ブライアンズタイム,
11,6,エッグスラット,牡4,菊沢,美浦・矢野,差し,19.8,7,4,3歳以上1勝クラス,36.4,498(+6),東京,64,中8週,Y,,3,ジャスタウェイ,Alphabet Soup,
12,7,ミラーオブマインド B,セ4,菅原明,美浦・新開,差し,10.1,5,6,3歳以上1勝クラス,37.3,476(-6),東京,64,中8週,Y,,3,マインドユアビスケッツ,アグネスタキオン,
13,7,ミスティックパワー,牡4,木幡育,美浦・松永康,差し,325.0,14,11,3歳以上1勝クラス,37.8,494(-8),新潟,14,中1週,Y,,1,サトノアラジン,ハービンジャー,
14,8,カルツァクライン,牡3,丸田,美浦・林,差し,173.1,12,16,3歳以上1勝クラス,35.9,438(-2),東京,77,中10週,Y,,3,イスラボニータ,Motivator,
15,8,キタノチェロキー,牝4,柴田大,美浦・粕谷,差し,448.9,15,9,3歳以上1勝クラス,38.1,460(-2),新潟,15,中1週,Y,,3,タリスマニック,スペシャルウィーク,
