馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,アイリュール,牝3,丹内,美浦・田中剛,差し,11.7,4,5,3歳未勝利,38.1,456(0),札幌,29,中3週,Y,,3,コパノリッキー,オグリキャップ,,
2,2,ディクスミュード,牝3,,美浦・武井,追込,343.1,14,13,3歳未勝利,36.6,438(+4),東京,63,中8週,Y,,2,パイロ,アフリート,,
3,3,ミスティッククイン,牝3,吉村智,栗東・野中,先行,29.2,7,5,3歳未勝利,40.3,490(+2),札幌,15,中1週,Y,,3,ドゥラメンテ,Darshaan,,
4,3,ウキヨノユメ,牝3,古川吉,栗東・千田,差し,104.7,10,9,3歳未勝利,38.9,460(+8),札幌,29,中3週,Y,,2,ベストウォーリア,ディープインパクト,,
5,4,ヘルミーネ,牝3,佐々木,美浦・和田郎,差し,46.7,9,12,3歳未勝利,38.2,492(+8),福島,49,中6週,Y,,3,キンシャサノキセキ,Noverre,,
6,4,ローマンレイク,牝3,ホー,栗東・松永幹,,16.9,5,11,3歳未勝利,36.9,432(0),札幌,28,中3週,Y,,3,ドレフォン,スペシャルウィーク,,
7,5,ウィスピースノー,牝3,坂井,栗東・今野,差し,29.6,8,7,3歳未勝利,35.4,450(+10),札幌,28,中3週,Y,,3,ワールドエース,アドマイヤムーン,,B
8,5,プエルタセクレタ,牝3,ティー,栗東・野中,先行,166.8,11,13,3歳未勝利,36.5,418(0),函館,42,中5週,Y,,3,ニューイヤーズデイ,ワイルドラッシュ,,
9,6,ペッシュプラット,牝3,小林凌,美浦・南田,差し,255.8,13,4,3歳未勝利,39.1,418(0),札幌,15,中1週,Y,,3,アドミラブル,スウェプトオーヴァーボード,,
10,6,メイショウムーヴ,牝3,川端,栗東・荒川,追込,210.0,12,13,3歳未勝利,39.1,460(+10),札幌,29,中3週,Y,,3,マジェスティックウォリアー,ハーツクライ,,
11,7,ユーヴェリア,牝3,モレイ,栗東・宮本,差し,3.4,2,4,3歳未勝利,38.9,450(0),札幌,14,中1週,Y,,3,オルフェーヴル,ファルブラヴ,,
12,7,メイショウコオロギ,牝3,大野,美浦・和田勇,差し,28.7,6,3,3歳未勝利,38.5,436(+4),札幌,15,中1週,Y,,3,ロジャーバローズ,メイショウボーラー,,B
13,8,オテンバムスメ,牝3,小林勝,栗東・北出,先行,3.5,3,2,3歳未勝利,38.7,454(+12),札幌,15,中1週,Y,,3,セレスハント,ルーラーシップ,,
14,8,ノーブルブランカ,牝3,ルメー,栗東・牧浦,差し,2.6,1,2,3歳未勝利,38.1,444(+2),札幌,8,連闘,Y,,3,ワールドエース,クロフネ,,
