着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,1,トランシルヴァニア,セ7,60.0,上野,3:05.9,,2,3.1,13.0,美浦田中剛,498(+4)
2,5,5,エクセレントラン,セ7,60.0,草野,3:05.9,アタマ,3,6.1,13.0,美浦伊藤伸,490(+10)
3,7,7,イエローウィン,牝5,58.0,石神深,3:06.1,1.1/4,1,2.3,13.1,美浦菊川,476(-2)
4,4,4,ウインエタンセル,牡4,60.0,小野寺,3:08.4,大,4,7.8,13.2,栗東西園翔,486(-4)
5,7,8,パープルアドミラル,牡4,60.0,中村,3:11.8,大,10,128.8,13.5,美浦堀内,440(+2)
6,8,9,バラードインミラノ,牡6,60.0,大江圭,3:11.9,3/4,6,23.4,13.5,美浦小野,436(+4)
7,2,2,スズノレイライン,牡3,58.0,黒岩,3:15.5,大,8,88.0,13.7,栗東平田,504(-6)
8,3,3,ワールドハート,牡5,60.0,高田,3:17.8,大,7,48.5,13.9,栗東藤野,458(+2)
9,8,10,オウケンデューク,セ4,57.0,▲坂口,3:26.5,大,9,122.6,14.5,美浦土田,420(-36)
中止,6,6,モンテイゾラ,セ4,60.0,伴,,,5,7.9,,美浦高柳瑞,480(+2)
