馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ミアネーロ,牝3,津村,美浦・林,差し,5.6,3,14,,35.3,480(+4),東京,111,中15週,Y,,3,ドゥラメンテ,Pulpit,
2,2,バランスダンサー,牝3,田辺,美浦・久保田,逃げ,40.4,11,6,,33.8,470(-2),東京,84,中11週,Y,,3,エピファネイア,クロフネ,
3,3,テリオスサラ,牝3,横山武,美浦・高柳瑞,先行,23.0,7,3,3歳以上1勝クラス,34.8,474(-6),新潟,21,中2週,Y,,3,ロジャーバローズ,Shamardal,
4,4,イゾラフェリーチェ,牝3,三浦,美浦・鹿戸,逃げ,91.3,12,8,,44.8,478(-8),川崎,87,中11週,,,2,サトノクラウン,ハーツクライ,
5,4,サロニコス,牝3,鮫島駿,栗東・松下,先行,37.6,10,1,3歳以上1勝クラス,33.8,446(0),京都,97,中13週,Y,,3,ロードカナロア,ディープインパクト,
6,5,クリスマスパレード,牝3,石川,美浦・加藤士,先行,6.6,5,9,,45.6,460(-2),川崎,87,中11週,,,2,キタサンブラック,Blame,
7,5,エラトー,牝3,横山和,栗東・上村,,5.2,2,1,,34.9,488(-4),函館,70,中9週,Y,,3,Saxon Warrior,Siyouni,
8,6,フォーザボーイズ,牝3,ルメー,美浦・加藤征,先行,17.1,6,1,3歳以上1勝クラス,33.6,432(+4),東京,97,中13週,Y,,3,エピファネイア,ハービンジャー,
9,6,レイククレセント,牝3,佐々木,美浦・大竹,差し,25.3,8,2,3歳以上1勝クラス,34.6,416(-4),札幌,42,中5週,Y,,3,ハーツクライ,Seattle Fitz,
10,7,ホーエリート,牝3,戸崎圭,美浦・田島,先行,6.5,4,10,,35.2,466(+6),東京,111,中15週,Y,,3,ルーラーシップ,ステイゴールド,
11,7,ボンドガール,牝3,武豊,美浦・手塚,差し,3.0,1,2,,34.4,448(-10),札幌,41,中5週,Y,,3,ダイワメジャー,Tizway,
12,8,ハミング,牝3,菅原明,栗東・中内田,先行,28.2,9,1,3歳以上1勝クラス,36.0,432(0),小倉,63,中8週,Y,,3,ブリックスアンドモルタル,ディープインパクト,
13,8,ガジュノリ,牝3,永野,美浦・尾形,先行,104.5,13,1,3歳以上1勝クラス,35.3,462(-6),函館,69,中9週,Y,,3,サトノダイヤモンド,ヴィクトワールピサ,
