馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ヒヒーン,牝3,酒井,栗東・須貝,先行,8.8,2,3,3歳以上1勝クラス,37.9,470(-6),中京,21,中2週,Y,,3,ジャスタウェイ,ワークフォース,,
2,2,ダブルハートボンド,牝3,坂井,栗東・大久保,,1.1,1,1,3歳未勝利,37.3,472(-4),中京,21,中2週,Y,,1,キズナ,Smoke Glacken,,
3,3,レクランスリール,牝4,角田和,栗東・小林,差し,77.8,7,11,3歳以上1勝クラス,38.4,456(+4),小倉,57,中7週,Y,,3,ドレフォン,ゼンノロブロイ,,
4,4,アキミューミュー,牝3,松山,栗東・池添,差し,61.8,6,7,3歳以上1勝クラス,39.0,458(-6),中京,21,中2週,Y,,3,サトノクラウン,キャプテンスティーヴ,,
5,5,オウケンヴィーナス,牝3,川又,美浦・宮田,差し,262.9,9,6,3歳未勝利,40.4,406(+4),札幌,35,中4週,Y,,3,ルーラーシップ,クロフネ,,
6,6,ブラックドレス,牝3,柴田裕,栗東・谷,先行,32.0,4,5,3歳以上1勝クラス,38.5,436(+6),中京,21,中2週,Y,,3,ブラックタイド,ロージズインメイ,,
7,7,ウィンターガーデン,牝3,戸崎圭,栗東・武幸,先行,13.4,3,8,3歳以上1勝クラス,40.2,476(-2),中京,14,中1週,Y,,3,リアルインパクト,Halling,,B
8,7,スナークメモリー,牝4,国分恭,栗東・庄野,差し,35.7,5,8,3歳以上1勝クラス,38.5,434(+6),中京,29,中3週,Y,,3,オルフェーヴル,サクラバクシンオー,,
9,8,サンマルソムニア,牝5,秋山稔,美浦・佐藤吉,差し,281.6,10,11,3歳以上1勝クラス,39.2,450(-6),中京,21,中2週,Y,,2,リアルインパクト,エンパイアメーカー,,
10,8,ヴァルトラウテ,牝4,田中健,栗東・中村,差し,185.7,8,9,,37.9,450(0),中京,8,連闘,Y,,3,レッドファルクス,ダンスインザダーク,,
