着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,17,トウシンマカオ,牡5,57.0,菅原明,1:07.7,,2,6.4,33.1,美浦高柳瑞,474(-6)
2,8,18,ママコチャ,牝5,57.0,鮫島駿,1:07.8,1/2,4,8.0,33.9,栗東池江,498(+10)
3,1,1,モズメイメイ,牝4,55.0,国分恭,1:07.9,3/4,7,10.9,34.0,栗東音無,464(0)
4,1,2,アネゴハダ,牝5,55.0,角田和,1:08.1,1.1/4,17,189.8,34.1,栗東佐々木,466(+6)
5,6,11,トゥラヴェスーラ,牡9,57.0,藤岡佑,1:08.1,ハナ,14,79.5,33.3,栗東高橋康,480(+4)
6,7,15,アサカラキング,牡4,57.0,斎藤,1:08.1,アタマ,9,12.9,34.3,美浦斎藤誠,524(0)
7,6,12,テンハッピーローズ,牝6,56.0,津村,1:08.2,クビ,6,10.7,33.6,栗東高柳大,466(+8)
8,4,7,ヨシノイースター,牡6,57.0,丸山,1:08.2,ハナ,3,7.8,34.0,栗東中尾,488(+4)
9,3,5,サウザンサニー,牡4,57.0,菱田,1:08.2,クビ,8,11.6,33.6,美浦岩戸,520(-6)
10,4,8,キミワクイーン,牝5,55.0,岩田望,1:08.2,ハナ,10,30.7,33.3,美浦奥村武,446(-4)
11,3,6,ジョウショーホープ,牡4,57.0,西村淳,1:08.2,クビ,11,36.8,33.8,栗東新谷,474(-4)
12,7,14,ダノンスコーピオン,牡5,58.0,戸崎圭,1:08.3,アタマ,5,9.0,33.1,栗東福永,478(+8)
13,7,13,ピューロマジック,牝3,53.0,横山和,1:08.4,3/4,1,3.9,34.8,栗東安田,456(+4)
14,2,3,グレイトゲイナー,牡7,57.0,池添,1:08.4,クビ,16,155.6,34.2,栗東森秀,468(-2)
15,2,4,ストーンリッジ,牡7,57.0,松山,1:08.5,1/2,15,102.0,34.3,栗東藤原,464(-10)
16,5,10,テイエムスパーダ,牝5,56.0,酒井,1:08.8,1.1/2,13,69.3,33.6,栗東木原,494(+4)
17,5,9,ミッキーハーモニー,牝5,55.0,浜中,1:08.8,クビ,12,54.8,33.0,美浦萩原,462(-2)
18,8,16,カリボール,牡8,57.0,杉原,1:09.0,1.1/2,18,268.1,33.5,栗東西村,492(+8)
