馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,デルマカンノン,牝6,鮫島駿,栗東・緒方,差し,109.7,11,10,,33.9,462(+12),東京,92,中12週,Y,,3,スピルバーグ,Belong to Me,
2,2,メイショウピース,牝4,和田竜,栗東・高橋亮,,5.2,3,2,,34.0,474(0),中京,29,中3週,Y,,3,リオンディーズ,Hurricane Run,
3,3,リチャードバローズ,牡3,岩田望,栗東・上村,先行,4.7,2,3,,33.8,510(+8),中京,29,中3週,Y,,3,エピファネイア,Kingmambo,
4,4,スプリングノヴァ B,牝3,,栗東・鮫島,差し,86.1,10,10,,34.9,400(+4),札幌,22,中2週,Y,,3,カリフォルニアクローム,ディープインパクト,
5,4,シンプリーオーサム B,牡4,西村淳,栗東・吉岡,先行,19.2,6,6,,33.8,550(+6),中京,29,中3週,Y,,3,ビッグアーサー,Grand Slam,
6,5,ピラティス,牝5,横山典,栗東・松永幹,追込,52.4,8,12,,33.6,468(-2),中京,29,中3週,Y,,3,ロードカナロア,ネオユニヴァース,
7,5,ソンシ,牡3,川田,栗東・中内田,先行,1.9,1,11,,35.3,484(0),京都,85,中11週,Y,,3,Night of Thunder,Nayef,
8,6,サトノヴィレ,セ4,団野,美浦・鹿戸,差し,58.1,9,11,,33.4,494(0),新潟,23,中2週,Y,,3,デクラレーションオブウォー,フジキセキ,
9,6,テラメリタ,牝3,永島,栗東・須貝,差し,14.7,4,6,,34.4,472(+12),中京,15,中1週,Y,,3,ブリックスアンドモルタル,ヴィクトワールピサ,
10,7,テーオーアリエス B,牝5,小沢,栗東・岡田,差し,223.0,12,8,,38.9,512(+16),小倉,78,中10週,Y,,3,ダイワメジャー,Canford Cliffs,
11,7,ケイアイオメガ,牡5,荻野琢,栗東・梅田,差し,291.9,13,11,,36.3,458(-16),札幌,16,中1週,Y,,3,ビッグアーサー,トワイニング,
12,8,ロゼフレア,牝3,松山,栗東・中村,差し,17.0,5,12,,35.6,442(-10),新潟,36,中4週,Y,,3,Intello,Invincible Spirit,
13,8,エンファサイズ,牡4,富田,栗東・四位,差し,51.5,7,1,,33.7,436(-16),新潟,128,中17週,Y,,3,リアルスティール,グラスワンダー,
