着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,6,8,マコトヴェリーキー,牡4,58.0,岩田望,1:59.9,,2,3.9,35.0,栗東上村,484(+8)
2,5,7,シホノスペランツァ,牡5,58.0,西村淳,2:00.0,クビ,12,44.7,35.3,栗東寺島,478(0)
3,4,4,マイネルエンペラー,牡4,58.0,シュタ,2:00.1,1/2,4,7.7,35.2,栗東清水久,474(-14)
4,1,1,シュタールヴィント,牡4,58.0,鮫島駿,2:00.1,クビ,11,34.9,35.6,栗東矢作,442(-2)
5,6,9,コパノサントス,牡4,58.0,松山,2:00.2,クビ,5,8.0,34.6,栗東梅田,472(-2)
6,2,2,フェステスバント,牝4,56.0,藤岡佑,2:00.2,クビ,7,21.5,35.6,栗東藤岡,444(+12)
7,8,12,ショウナンアデイブ,牡5,58.0,池添,2:00.4,3/4,6,13.1,35.0,栗東高野,510(+4)
8,7,11,オープンファイア,牡4,58.0,川田,2:01.0,3.1/2,1,3.3,35.7,栗東斉藤崇,508(+6)
9,3,3,ワールドスケール,牡7,58.0,小崎,2:01.2,1.1/2,13,282.2,36.0,栗東村山,480(-8)
10,7,10,ラスマドレス,牝5,56.0,横山典,2:01.3,1/2,9,25.7,35.5,栗東安田,474(+2)
11,5,6,ヤマニンエンディマ,牡4,58.0,横山武,2:01.4,3/4,8,21.6,36.2,美浦辻,508(+2)
12,8,13,リビアングラス,牡4,58.0,坂井,2:01.9,3,3,6.7,36.9,栗東矢作,508
13,4,5,ポッドボレット,牡5,58.0,中井,2:02.1,1,10,28.9,37.3,栗東辻野,514(-8)
