馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ヒルビリーエレジー,牝2,吉田豊,美浦・戸田,,57.3,11,,,,444(0),,,,,,,サンダースノー,ヨハネスブルグ,,
2,2,ニシノヒルブライト,牝2,永野,美浦・稲垣,,39.8,9,,,,470(0),,,,,,,カレンブラックヒル,タイキシャトル,,
3,2,プレシャスアセット,牝2,石川,美浦・池上,,146.5,14,,,,444(0),,,,,,,オルフェーヴル,Shamardal,,
4,3,エリカマユーリ,牝2,松山,美浦・堀,,5.4,3,,,,462(0),,,,,,,Quality Road,War Front,,
5,3,モズアンドモズ,牝2,横山武,美浦・栗田,,6.7,4,,,,440(0),,,,,,,モズアスコット,キングカメハメハ,,
6,4,マリリンアスク,牝2,田辺,美浦・久保田,,23.5,8,,,,450(0),,,,,,,リオンディーズ,ハーツクライ,,
7,4,サトノシャルレーヌ,牝2,三浦,美浦・国枝,,10.7,5,,,,458(0),,,,,,,サトノダイヤモンド,Myboycharlie,,
8,5,ベリーズブルー,牝2,,美浦・鈴木慎,,160.2,15,,,,428(0),,,,,,,フィエールマン,コマンズ,,
9,5,レイククイ,牝2,木幡巧,美浦・牧,,15.2,6,,,,438(0),,,,,,,レイデオロ,Darshaan,,
10,6,クオレプリマドンナ,牝2,津村,美浦・和田郎,,18.4,7,,,,452(0),,,,,,,モーリス,ダイワメジャー,,
11,6,オメガプリズム,牝2,佐々木,美浦・嘉藤,,47.2,10,,,,440(0),,,,,,,ストロングリターン,デュランダル,,
12,7,ブルージュ,牝2,ルメー,美浦・栗田,,3.5,2,,,,422(0),,,,,,,ブリックスアンドモルタル,ダイワメジャー,,
13,7,テンミラージュ,牝2,菅原明,美浦・深山,,84.5,12,,,,442(0),,,,,,,ルーラーシップ,スピルバーグ,,
14,8,ガーネットウインク,牝2,横山和,美浦・小西,,90.2,13,,,,488(0),,,,,,,エポカドーロ,ヴィクトワールピサ,,
15,8,ロンドボス,牝2,戸崎圭,栗東・藤原,,3.5,1,,,,448(0),,,,,,,モーリス,ディープインパクト,,
