着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,4,ショウナンライシン,牡4,57.0,柴田善,1:34.2,,11,46.6,35.3,美浦大竹,492(-4)
2,3,5,タマモロック,牡4,57.0,永野,1:34.3,1/2,4,6.0,35.9,美浦伊藤圭,506(+2)
3,8,16,ペリエール,牡4,58.0,石川,1:35.0,4,1,4.3,36.6,美浦黒岩,492(+22)
4,1,1,ゼットリアン,牡4,57.0,大野,1:35.1,3/4,13,61.7,35.8,栗東吉田,438(-10)
5,8,15,バグラダス,牡4,57.0,横山和,1:35.1,クビ,6,9.0,36.3,美浦嘉藤,482(+2)
6,6,12,デシエルト,牡5,58.0,岩田康,1:35.2,1/2,3,5.9,37.2,栗東安田,530(+8)
7,4,8,キタノリューオー,牡6,58.0,津村,1:35.4,3/4,10,40.5,36.8,美浦萱野,478(+6)
8,4,7,レオノーレ,牝5,55.0,三浦,1:35.8,2.1/2,12,59.3,36.8,栗東福永,500(0)
9,3,6,サンテックス,牡4,57.0,ルメー,1:35.9,3/4,5,8.1,37.3,栗東浜田,530(-8)
10,6,11,ゴーゴーユタカ,牡5,57.0,木幡巧,1:36.1,1.1/2,15,175.6,37.5,美浦武井,482(+6)
11,7,13,サトノルフィアン,牡5,58.0,戸崎圭,1:36.2,クビ,2,4.5,38.4,栗東高橋康,514(-4)
12,2,3,アクションプラン,牡4,57.0,内田博,1:36.2,クビ,7,15.7,38.1,美浦池上,506(-2)
13,5,10,ルコルセール,牡6,58.0,佐々木,1:36.4,1,9,40.0,38.6,美浦堀,520(-2)
14,5,9,ダンツキャッスル,牡8,58.0,和田翼,1:36.9,3,16,472.0,37.8,栗東谷,492(0)
15,1,2,ドルチェモア,牡4,60.0,西村淳,1:37.8,5,14,120.5,39.6,栗東高橋一,472(+2)
16,7,14,テーオーリカード,牡4,57.0,鮫島駿,1:38.2,2.1/2,8,18.8,40.0,栗東高柳大,494(-4)
