馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,テーオーレガシー,牡4,秋山稔,栗東・宮,,18.5,6,8,4歳以上2勝クラス,39.9,504(0),阪神,184,中25週,Y,Y,3,ダンカーク,キングカメハメハ,
2,2,イージーオンミー B,牝4,佐々木,美浦・中舘,差し,5.4,2,3,3歳以上2勝クラス,37.2,438(-2),中山,23,中2週,Y,,3,ダイワメジャー,パイロ,
3,3,アトラクティーボ,牡5,酒井,美浦・武藤,差し,19.0,7,6,,38.7,534(-6),新潟,58,中7週,Y,,3,ワンアンドオンリー,ファスリエフ,
4,4,プレイサーゴールド,牡4,田口,栗東・今野,差し,9.6,4,8,,38.2,500(+8),中京,50,中6週,Y,,3,シニスターミニスター,クロフネ,
5,5,シゲルカミカゼ,牡4,大野,美浦・松山,先行,5.6,3,4,3歳以上2勝クラス,38.4,524(0),中山,15,中1週,Y,,3,ドレフォン,サウスヴィグラス,
6,6,サパテアール B,セ5,丸山,美浦・畠山,先行,13.8,5,11,4歳以上2勝クラス,38.1,512(+8),京都,155,中21週,Y,,3,プリサイスエンド,ダンスインザダーク,
7,7,コレオグラファー,牡4,亀田,栗東・高柳大,先行,20.3,8,6,,34.5,484(+4),新潟,170,中23週,Y,,3,モーリス,アグネスデジタル,
8,7,リジン,牡5,,栗東・宮本,先行,1.8,1,2,,38.0,494(-6),新潟,71,中9週,Y,,2,ストロングリターン,ダイワメジャー,
9,8,ラジエーション,牝3,松本,栗東・新谷,先行,69.3,9,1,アンタレス,38.0,486(+9),盛岡,48,中6週,,,1,インカンテーション,Catcher In The Rye,
10,8,ノーブルマルシェ,牝4,荻野極,美浦・久保田,先行,81.1,10,15,,42.1,470(+10),新潟,58,中7週,Y,,3,ルーラーシップ,シンボリクリスエス,
