馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,アイザックバローズ,牡4,丸山,栗東・友道,差し,4.9,2,2,,34.9,480(+2),中山,42,中5週,Y,,3,ドゥラメンテ,Curlin,
2,1,マイネルメサイア,牡5,石橋脩,美浦・水野,逃げ,26.5,10,9,,36.9,480(-4),中山,42,中5週,Y,,3,ゴールドシップ,ロージズインメイ,
3,2,ラスハンメル,牡4,小沢,栗東・松永幹,,11.9,6,10,,34.9,522(-10),新潟,70,中9週,Y,,3,シルバーステート,キングカメハメハ,
4,2,ボーンイングランデ,牡4,松本,栗東・吉田,追込,13.7,7,7,,35.4,466(0),札幌,62,中8週,Y,,3,サトノクラウン,ブラックタイド,
5,3,ヤマニンステラータ,牡3,古川吉,栗東・松永幹,追込,4.7,1,8,,35.4,474(+4),中京,41,中5週,Y,,3,サトノダイヤモンド,チチカステナンゴ,
6,3,ヴェルミセル,牝4,斎藤,栗東・吉村,差し,10.6,5,5,,35.9,472(+10),札幌,77,中10週,Y,,3,ゴールドシップ,コンデュイット,
7,4,レッドエンヴィー,牡8,,栗東・坂口,差し,99.6,15,8,3歳以上2勝クラス,35.2,504(-10),京都,28,中3週,Y,,3,ジャスタウェイ,Storm Cat,
8,4,シルバープリペット,牡4,嶋田,美浦・松山,差し,189.4,16,6,,36.0,468(+6),中山,42,中5週,Y,,3,レッドファルクス,エイシンフラッシュ,
9,5,ウインマイルート,牡5,丹内,美浦・鈴木慎,差し,5.2,3,6,,35.6,450(-12),新潟,76,中10週,Y,,3,ゴールドシップ,ルールオブロー,
10,5,グランドゴールド,牡5,,栗東・羽月,差し,22.5,9,1,,34.8,468(+12),福島,195,中27週,Y,Y,3,ジャスタウェイ,キングカメハメハ,
11,6,ストキャスティーク,牝5,長浜,美浦・大竹,差し,70.8,14,8,,36.3,450(0),中山,42,中5週,Y,,3,ゴールドシップ,ハービンジャー,
12,6,リアド,牡5,松岡,栗東・小椋,先行,27.4,11,8,3歳以上2勝クラス,34.6,472(-4),中京,35,中4週,Y,,3,ディープインパクト,Tiznow,
13,7,ナムアミダブツ B,牡7,高杉,栗東・石坂,差し,48.4,12,9,,36.1,466(-14),札幌,77,中10週,Y,,3,オルフェーヴル,トニービン,
14,7,トロピカルライト,牝4,丸田,美浦・宗像,差し,6.5,4,5,,34.8,478(+10),福島,112,中15週,Y,,3,キズナ,フレンチデピュティ,
15,8,タガノバルコス,牡5,柴田善,栗東・鮫島,差し,58.9,13,7,,36.3,476(0),中山,42,中5週,Y,,3,キタサンブラック,キングカメハメハ,
16,8,オリエンタルナイト,牡3,西塚,栗東・寺島,差し,16.7,8,9,,37.2,520(+6),新潟,76,中10週,Y,,3,ハービンジャー,ワークフォース,
