着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,3,ジオパーククラウン,牡4,57.0,☆横山琉,1:09.8,,8,11.7,35.1,栗東長谷川,446(0)
2,1,2,スーパーマン,牡4,55.0,▲長浜,1:09.9,クビ,4,6.8,35.3,美浦岩戸,490(-2)
3,2,4,レッドカメリア,牝4,54.0,△小林脩,1:10.0,1/2,16,236.6,35.1,美浦佐藤吉,442(+2)
4,7,14,ラブカムーン,牝3,51.0,★河原田,1:10.2,1.1/2,9,21.4,35.8,栗東千田,464(-4)
5,8,15,ブライティアダイヤ,牝3,53.0,◇永島,1:10.4,1.1/4,6,9.1,35.5,美浦稲垣,460(-2)
6,1,1,ギルティプレジャー,牝3,53.0,△高杉,1:10.4,クビ,3,5.7,36.3,栗東寺島,436(-2)
7,6,12,アエリーゾ,牝5,53.0,▲川端,1:10.6,1.1/4,1,5.4,35.0,栗東庄野,468(0)
8,3,6,ミエノブラボー,牝3,52.0,▲石田,1:10.7,アタマ,7,10.4,35.0,美浦宗像,474(0)
9,5,10,グランテレーズ,牝3,55.0,亀田,1:10.7,1/2,2,5.5,36.3,栗東渡辺,444(0)
10,6,11,トレンシャリー,セ3,56.0,☆西塚,1:10.8,1/2,10,28.1,35.2,栗東寺島,438(+2)
11,3,5,アップフルーク,牡5,55.0,▲柴田裕,1:10.8,アタマ,11,38.4,37.0,美浦松山,504(+2)
12,7,13,イナウィンク,牡4,57.0,☆松本,1:10.9,クビ,14,73.5,34.7,栗東吉田,438(+4)
13,8,16,ナックブレイブ,牡4,55.0,▲佐藤,1:10.9,1/2,12,48.5,36.2,美浦杉浦,490(+8)
14,5,9,マルモリディライト,牝4,53.0,▲土田,1:11.2,1.1/2,15,109.2,37.0,美浦和田雄,474(+4)
15,4,8,イスラアズール,セ3,54.0,▲石神道,1:11.3,1/2,13,73.3,36.4,美浦武井,440(0)
16,4,7,ニシノアヤカゼ,牝3,51.0,★小林美,1:11.9,3.1/2,5,9.1,35.1,美浦鈴木伸,456(-2)
