着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,8,アドマイヤズーム,牡2,56.0,川田,1:33.9,,2,3.8,35.0,栗東友道,466(+2)
2,2,2,オールザレイジ,牝2,55.0,Cデム,1:34.4,3,8,16.8,35.2,栗東寺島,490(0)
3,6,9,ベルジュロネット,牡2,56.0,鮫島駿,1:34.5,クビ,3,4.7,35.2,栗東大久保,532(+6)
4,7,12,ミンストレルソング,牝2,52.0,▲吉村,1:34.7,1.1/4,7,13.3,35.7,栗東音無,448(+2)
5,5,7,スピリットサージ,牝2,55.0,ルメー,1:34.7,クビ,1,3.4,35.3,栗東須貝,450(+4)
6,3,4,エスペシャリー,牝2,55.0,藤岡佑,1:34.9,1.1/4,5,11.9,36.1,栗東四位,442(-4)
7,1,1,シドニーホバート,牡2,56.0,松山,1:35.0,クビ,6,11.9,35.7,栗東杉山佳,504(+6)
8,4,6,オンザムーブ,牡2,56.0,坂井,1:35.1,1/2,4,5.9,36.0,栗東矢作,504(-2)
9,8,14,エイシンクァンタム,牡2,53.0,▲今村,1:35.1,クビ,10,195.6,35.3,栗東今野,448(+2)
10,6,10,ショウナンマハト,牝2,55.0,岩田望,1:35.1,クビ,13,307.9,35.6,栗東清水久,440(0)
11,7,11,オデット,牝2,55.0,菱田,1:35.3,1,14,322.1,35.3,栗東緒方,446(0)
12,3,3,カガセブンスター,牡2,55.0,☆田口,1:35.3,クビ,11,271.3,35.3,栗東安達,454(-2)
13,4,5,シャインバオバブ,牡2,56.0,酒井,1:35.3,アタマ,9,176.2,35.7,栗東本田,488(+6)
14,8,13,キュードス,牡2,56.0,団野,1:35.5,1,12,303.1,35.8,栗東荒川,492(+2)
