馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ホールネス,牝4,坂井,栗東・藤原,差し,8.7,2,1,,36.1,536(0),新潟,21,中2週,Y,,3,Lope de Vega,Golan,
2,1,ライラック,牝5,石川,美浦・相沢,差し,35.7,10,13,,34.1,448(-10),東京,27,中3週,Y,,3,オルフェーヴル,キングカメハメハ,
3,2,ルージュリナージュ,牝5,池添,美浦・宗像,追込,53.0,13,5,,32.9,444(-4),東京,27,中3週,Y,,3,スピルバーグ,ルーラーシップ,
4,2,コンクシェル B,牝4,岩田望,栗東・清水久,,25.8,8,9,,34.9,480(-2),東京,27,中3週,Y,,3,キズナ,Galileo,
5,3,モリアーナ,牝4,岩田康,美浦・武藤,差し,30.1,9,8,,33.3,482(0),東京,27,中3週,Y,,3,エピファネイア,ダイワメジャー,
6,3,ピースオブザライフ,牝4,団野,栗東・野中,先行,126.8,15,1,,37.0,488(+6),新潟,35,中4週,Y,,3,キタサンブラック,シンボリクリスエス,
7,4,レガレイラ,牝3,ルメー,美浦・木村,差し,1.9,1,5,,33.1,472(+4),中京,56,中7週,Y,,3,スワーヴリチャード,ハービンジャー,
8,4,シンリョクカ,牝4,木幡初,美浦・竹内,先行,12.9,6,1,,34.4,462(+4),新潟,70,中9週,Y,,3,サトノダイヤモンド,キングカメハメハ,
9,5,キミノナハマリア,牝4,鮫島駿,栗東・千田,先行,39.3,11,3,,35.2,506(-2),札幌,99,中13週,Y,,3,ハービンジャー,ヴィクトワールピサ,
10,5,エリカヴィータ,牝5,藤岡佑,美浦・国枝,差し,207.5,17,6,,37.6,464(-8),新潟,21,中2週,Y,,3,キングカメハメハ,フジキセキ,
11,6,スタニングローズ,牝5,Ｃデム,栗東・高野,先行,9.5,3,6,,35.3,498(+6),札幌,105,中14週,Y,,3,キングカメハメハ,クロフネ,
12,6,シンティレーション,牝5,マーカ,美浦・池上,差し,10.4,4,2,,32.8,476(-4),東京,27,中3週,Y,,3,ロードカナロア,アグネスタキオン,
13,7,サリエラ,牝5,ムーア,美浦・国枝,差し,12.9,5,12,,35.6,418(-6),中山,49,中6週,Y,,3,ディープインパクト,Lomitas,
14,7,ハーパー B,牝4,武豊,栗東・友道,先行,19.1,7,15,,35.2,486(-2),東京,27,中3週,Y,,3,ハーツクライ,Jump Start,
15,8,ゴールドエクリプス,牝5,田口,栗東・大久保,先行,195.4,16,16,,36.7,498(+2),京都,147,中20週,Y,,3,ドゥラメンテ,ハービンジャー,
16,8,ラヴェル,牝4,川田,栗東・矢作,差し,41.2,12,6,,34.0,468(-6),東京,28,中3週,Y,,3,キタサンブラック,ダイワメジャー,
17,8,コスタボニータ,牝5,松山,栗東・杉山佳,先行,54.4,14,11,,34.3,482(+4),東京,27,中3週,Y,,3,イスラボニータ,Kendor,
