着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,6,11,スタニングローズ,牝5,56.0,Cデム,2:11.1,,3,9.5,34.0,栗東高野,498(+6)
2,8,16,ラヴェル,牝4,56.0,川田,2:11.5,2,12,41.2,34.1,栗東矢作,468(-6)
3,1,1,ホールネス,牝4,56.0,坂井,2:11.6,3/4,2,8.7,34.4,栗東藤原,536(0)
4,4,8,シンリョクカ,牝4,56.0,木幡初,2:11.6,クビ,6,12.9,34.6,美浦竹内,462(+4)
5,4,7,レガレイラ,牝3,54.0,ルメー,2:11.6,ハナ,1,1.9,34.1,美浦木村,472(+4)
6,1,2,ライラック,牝5,56.0,石川,2:11.6,ハナ,10,35.7,33.9,美浦相沢,448(-10)
7,7,13,サリエラ,牝5,56.0,ムーア,2:11.8,1,5,12.9,33.9,美浦国枝,418(-6)
8,8,15,ゴールドエクリプス,牝5,56.0,田口,2:11.8,ハナ,16,195.4,34.2,栗東大久保,498(+2)
9,8,17,コスタボニータ,牝5,56.0,松山,2:11.9,1/2,14,54.4,34.7,栗東杉山佳,482(+4)
10,6,12,シンティレーション,牝5,56.0,マーカ,2:12.0,3/4,4,10.4,34.6,美浦池上,476(-4)
11,5,9,キミノナハマリア,牝4,56.0,鮫島駿,2:12.1,1/2,11,39.3,34.8,栗東千田,506(-2)
12,5,10,エリカヴィータ,牝5,56.0,藤岡佑,2:12.1,ハナ,17,207.5,34.3,美浦国枝,464(-8)
13,2,3,ルージュリナージュ,牝5,56.0,池添,2:12.1,クビ,13,53.0,34.0,美浦宗像,444(-4)
14,3,5,モリアーナ,牝4,56.0,岩田康,2:12.4,1.1/2,9,30.1,34.4,美浦武藤,482(0)
15,3,6,ピースオブザライフ,牝4,56.0,団野,2:13.3,5,15,126.8,35.3,栗東野中,488(+6)
16,2,4,コンクシェル,牝4,56.0,岩田望,2:13.6,2,8,25.8,36.9,栗東清水久,480(-2)
17,7,14,ハーパー,牝4,56.0,武豊,2:13.8,3/4,7,19.1,36.9,栗東友道,486(-2)
