着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,4,ティラトーレ,牝2,55.0,木幡巧,1:35.8,,3,4.2,34.0,美浦牧,484(0)
2,2,2,スターエンブレム,牡2,56.0,菅原明,1:36.3,3,1,2.7,34.5,美浦林,466(0)
3,8,9,ヤマニンパルフェ,牝2,54.0,☆原,1:36.8,3,7,41.7,34.7,美浦辻,488(0)
4,5,5,ユイノガリクソン,牡2,56.0,長岡,1:37.0,3/4,8,83.4,34.5,美浦深山,418(0)
5,8,10,タッチザシーリング,牝2,55.0,佐々木,1:37.2,1.1/4,2,2.7,34.9,美浦菊川,426(0)
6,3,3,マミーブルー,牝2,52.0,▲佐藤,1:37.5,2,10,195.4,34.6,美浦杉浦,444(0)
7,7,8,マードラド,牡2,56.0,内田博,1:37.9,2.1/2,6,13.7,35.0,美浦鈴木慎,476(0)
8,6,6,リョウランナイト,牡2,56.0,石橋脩,1:38.1,1,5,12.3,35.5,美浦小野,478(0)
9,1,1,ビップマリン,牝2,54.0,☆西塚,1:38.2,3/4,9,104.8,36.1,美浦高柳瑞,390(0)
10,7,7,ネオシャクナゲ,牡2,56.0,田辺,1:39.6,8,4,11.9,35.8,美浦小西,494(0)
