着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,6,11,ヒルノハンブルク,牡2,56.0,坂井,1:54.6,,1,2.4,37.6,栗東武英,472(0)
2,5,10,ゼロスネーク,牡2,56.0,藤岡佑,1:54.8,1.1/2,8,25.5,36.5,栗東四位,446(0)
3,1,1,ロードヴォイジャー,牡2,56.0,幸,1:55.0,1.1/2,5,18.0,37.0,栗東坂口,512(0)
4,8,16,メイショウズイウン,牡2,56.0,太宰,1:55.2,1.1/4,4,12.6,38.3,栗東本田,500(0)
5,6,12,サトノセーブル,牡2,56.0,鮫島駿,1:55.5,2,3,9.1,38.2,栗東橋口,500(0)
6,3,6,マンノミューズ,牝2,55.0,菱田,1:55.7,3/4,14,164.8,38.0,栗東角田,426(0)
7,2,4,ランフォザプライド,牡2,56.0,川田,1:55.7,クビ,2,2.9,38.6,美浦高木,502(0)
8,3,5,ライジングショット,牡2,56.0,岩田望,1:55.8,クビ,7,19.9,37.4,栗東吉村,522(0)
9,8,15,イエローブリック,牡2,56.0,岩田康,1:56.2,2.1/2,11,53.0,39.5,栗東奥村豊,512(0)
10,5,9,メリッササンライズ,牝2,54.0,☆田口,1:56.8,3.1/2,12,76.5,39.7,栗東河内,468(0)
11,4,7,ガールクラッシュ,牝2,55.0,武豊,1:57.0,1.1/4,6,18.3,38.7,栗東安田,508(0)
12,1,2,トリプルバレル,牡2,56.0,浜中,1:57.9,5,10,41.8,40.3,美浦稲垣,468(0)
13,7,14,ウインマスカレード,牡2,56.0,加藤,1:58.1,1,9,29.6,41.5,栗東宮本,486(0)
14,2,3,ジャコエンペラー,牡2,56.0,田中健,1:58.4,2,15,254.7,40.5,栗東荒川,488(0)
15,4,8,エフィカシー,牡2,56.0,藤懸,1:58.7,1.3/4,13,129.5,39.6,栗東羽月,474(0)
16,7,13,テイエムメープル,牝2,55.0,城戸,1:58.7,クビ,16,258.5,39.7,栗東鈴木孝,508(0)
