馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ウヌボレヤサン,牡3,西塚,美浦・本間,先行,9.6,6,3,3歳以上1勝クラス,39.0,424(+4),新潟,27,中3週,Y,,3,ダノンレジェンド,サクラローレル,,
2,2,マクミランテソーロ,牡3,永島,美浦・田中剛,,4.1,1,1,3歳未勝利,37.8,472(-4),札幌,77,中10週,Y,,3,レッドファルクス,Cairo Prince,,
3,2,サリュエ,牡3,川端,栗東・野中,先行,15.4,9,12,3歳以上1勝クラス,38.5,486(0),福島,13,中1週,Y,,3,ファインニードル,Cape Cross,,
4,3,エスオーライジング,牡3,泉谷,栗東・木原,先行,95.1,13,8,3歳以上1勝クラス,41.5,470(0),京都,28,中3週,Y,,3,ラブリーデイ,アルデバランII,,
5,3,スマートハンター,牡4,小沢,栗東・中村,先行,18.3,10,7,3歳以上1勝クラス,38.1,502(-4),福島,13,中1週,Y,,2,シャンハイボビー,スマートファルコン,,B
6,4,アイファーファイト,牡5,河原田,栗東・鮫島,差し,12.8,8,6,3歳以上1勝クラス,37.6,446(0),福島,13,中1週,Y,,3,バトルプラン,ステイゴールド,,
7,4,エコロカレン,牝3,斎藤,美浦・奥平,先行,10.8,7,9,3歳以上1勝クラス,38.1,474(0),福島,13,中1週,Y,,3,ロージズインメイ,ブラックホーク,,B
8,5,ウェルキン,牝3,佐藤,美浦・新開,差し,177.8,14,11,3歳以上1勝クラス,40.8,414(-2),新潟,20,中2週,Y,,3,マインドユアビスケッツ,ディープインパクト,,B
9,5,エスジースパークル,牝4,小林美,美浦・鈴木慎,先行,7.3,3,5,3歳以上1勝クラス,37.6,464(-4),福島,14,中1週,Y,,3,パイロ,ダイワメジャー,,
10,6,ノーブルアクト,牝4,石田,美浦・上原博,差し,6.0,2,2,3歳以上1勝クラス,36.4,506(0),福島,14,中1週,Y,,3,マクフィ,ゼンノロブロイ,,B
11,6,カビーリア,牡4,今村,栗東・飯田,差し,35.1,11,3,3歳以上1勝クラス,38.0,494(+12),札幌,483,中68週,Y,Y,3,サトノアラジン,シニスターミニスター,,
12,7,ディープグラビティ,セ5,長浜,美浦・矢嶋,先行,58.8,12,9,3歳以上1勝クラス,39.7,446(-8),函館,132,中18週,Y,,3,ディープインパクト,Ghostzapper,,B
13,7,タケノシンセイ,牡3,亀田,栗東・村山,差し,7.5,4,5,3歳以上1勝クラス,37.7,458(-4),福島,13,中1週,Y,,3,ゴールデンバローズ,ヴァーミリアン,,
14,8,レリッシュ,牝3,松本,美浦・天間,追込,437.2,15,16,3歳以上1勝クラス,39.1,470(-4),東京,13,中1週,Y,,3,コパノリッキー,スウェプトオーヴァーボード,,
15,8,ピカレスクノベル,牡3,高杉,栗東・高橋忠,差し,8.7,5,9,3歳以上1勝クラス,38.5,504(-2),新潟,20,中2週,Y,,3,アメリカンペイトリオット,スズカマンボ,,B
