着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,9,サクラトップリアル,牡3,56.0,横山武,1:52.8,,1,3.4,37.3,美浦田村,514(-2)
2,7,12,クーアフュルスト,牡3,56.0,マーカ,1:52.8,アタマ,2,3.9,37.6,美浦大和田,476(+6)
3,8,15,シンヨモギネス,牡6,58.0,戸崎圭,1:53.1,1.1/2,7,26.0,37.9,美浦伊藤圭,490(+2)
4,4,6,タンゴバイラリン,牡3,56.0,田辺,1:53.2,3/4,3,4.9,37.3,美浦栗田,512(+6)
5,1,1,オールマキシマム,牝4,56.0,小林脩,1:53.3,クビ,10,73.1,37.8,美浦奥平,456(+4)
6,5,8,エクストラノート,セ7,58.0,菊沢,1:53.6,2,15,310.4,37.8,美浦加藤和,480(+4)
7,6,10,ジャスパーバローズ,牡4,58.0,坂井,1:53.8,1.1/4,5,8.2,38.3,栗東清水久,502(-10)
8,8,14,パーサヴィアランス,牡5,58.0,三浦,1:53.9,1/2,8,49.5,37.9,栗東西村,470(+4)
9,7,13,ホウオウプレミア,牡5,58.0,菱田,1:54.2,1.1/2,6,13.0,38.5,美浦奥村武,486(+4)
10,2,3,トリグラフ,牡5,58.0,大野,1:54.2,クビ,14,238.6,38.2,美浦松山,460(+6)
11,3,5,エリンアキレウス,牡4,58.0,荻野極,1:54.4,1,13,199.5,38.7,美浦清水英,534(-4)
12,6,11,スプレーフォール,牡3,56.0,石川,1:54.5,1,9,64.8,39.1,美浦相沢,446(+6)
13,2,2,サイモンソーラン,牡5,58.0,原,1:54.7,1.1/4,12,145.3,39.0,美浦勢司,484(+2)
14,4,7,メジャーデビュー,牝3,54.0,内田博,1:54.9,1,4,5.3,39.6,美浦鈴木慎,438(+8)
15,3,4,アイファーグローブ,牡5,58.0,野中,1:55.3,2.1/2,11,73.5,40.1,美浦蛯名利,480(+12)
