馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ヴェロニカペルシカ,牝2,,美浦・田島,差し,44.3,9,4,2歳未勝利,34.2,420(+6),東京,21,中2週,Y,,3,ダイワメジャー,Areion,,
2,2,リュウゼツラン,牝2,丹内,美浦・水野,差し,71.8,10,7,2歳未勝利,35.2,452(-2),札幌,98,中13週,Y,,3,ダノンバラード,ロージズインメイ,,
3,2,アグネスサンキ,牡2,鮫島駿,美浦・和田勇,差し,23.1,7,2,2歳未勝利,35.0,464(+14),新潟,127,中17週,Y,,2,マクフィ,ホワイトマズル,,
4,3,ジョイフルニュース,牝2,大野,美浦・大竹,差し,2.1,1,2,2歳新馬,33.7,442(-12),東京,22,中2週,Y,,1,ロードカナロア,Fortify,,
5,3,ウラチャチャ,牡2,嶋田,美浦・小野,追込,286.6,13,10,2歳新馬,35.1,466(+20),新潟,120,中16週,Y,,1,ウインブライト,チーフベアハート,,
6,4,ジェイエルハーバー,牡2,田辺,美浦・小西,先行,72.2,11,5,2歳新馬,34.4,404(-2),東京,28,中3週,Y,,1,マクフィ,ヨハネスブルグ,,
7,4,ライラ,牝2,木幡巧,美浦・牧,先行,8.1,4,4,2歳未勝利,35.0,456(+4),東京,29,中3週,Y,,2,キタサンブラック,コロナドズクエスト,,
8,5,アドベントシーズン,牡2,長浜,美浦・畠山,差し,4.4,2,6,2歳新馬,33.8,434(+6),中山,84,中11週,Y,,1,サートゥルナーリア,フジキセキ,,
9,5,ミヤイグアス,牝2,小林脩,美浦・青木,差し,479.5,15,15,2歳未勝利,35.6,428(+2),東京,8,連闘,Y,,2,Dark Angel,Muhaarar,,
10,6,カツコノヒヤザケ,牡2,原田和,美浦・伊藤伸,差し,12.9,5,4,2歳未勝利,36.3,444(+4),福島,29,中3週,Y,,2,フェノーメノ,スウェプトオーヴァーボード,,
11,6,サヤヒメ,牝2,菊沢,美浦・青木,差し,417.4,14,14,2歳新馬,35.7,468(+2),新潟,42,中5週,Y,,1,マツリダゴッホ,ショウナンカンプ,,
12,7,ソレイケギンチャン,牝2,小林美,美浦・天間,差し,217.6,12,7,2歳新馬,35.5,432(-14),東京,49,中6週,Y,,1,ギンザグリングラス,シンボリクリスエス,,
13,7,スペシャルバニー,牝2,荻野極,美浦・田村,逃げ,38.5,8,,,,400(+12),中山,76,中10週,Y,,2,バゴ,ディープインパクト,,
14,8,トーケンサワー,牝2,柴田善,美浦・根本,,6.3,3,3,2歳未勝利,34.7,434(-4),東京,22,中2週,Y,,3,ルーラーシップ,ヨハネスブルグ,,
15,8,フクチャンサクラ,牝2,マーカ,美浦・加藤征,先行,15.4,6,5,2歳新馬,33.9,480(-2),東京,28,中3週,Y,,1,モーリス,ハーツクライ,,
