馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,エアサンサーラ,牡3,,栗東・辻野,先行,2.0,1,1,3歳以上1勝クラス,36.8,580(-4),京都,29,中3週,Y,,3,Nyquist,Medaglia d'Oro,
2,2,サンライズパスカル,牡4,高杉,栗東・石坂,,4.7,3,4,,38.6,538(-6),新潟,91,中12週,Y,,3,ミッキーアイル,クロフネ,
3,3,グーヴェルナイユ,牡3,戸崎圭,栗東・武幸,先行,3.8,2,1,3歳以上1勝クラス,38.1,462(+2),中京,112,中15週,Y,,3,キズナ,Tiznow,
4,4,ルーパステソーロ B,牡6,亀田,美浦・千葉,差し,100.5,9,9,3歳以上2勝クラス,37.4,548(-8),東京,14,中1週,Y,,3,ゴールドシップ,A.P. Indy,
5,5,トゥルブレンシア,セ7,団野,栗東・藤沢,差し,12.1,5,6,3歳以上2勝クラス,36.7,466(-2),京都,21,中2週,Y,,3,フリオーソ,アドマイヤジャパン,
6,6,ウインメイフラワー,牝5,田口,栗東・梅田,差し,43.7,7,14,3歳以上2勝クラス,39.1,490(0),京都,15,中1週,Y,,3,ゴールドシップ,クロフネ,
7,6,メジャークオリティ,牡5,小沢,栗東・西園正,先行,194.0,10,10,,39.5,484(-10),福島,28,中3週,Y,,3,ダイワメジャー,Quality Road,
8,7,キタノセレナード,牡5,酒井,栗東・坂口,差し,303.1,11,14,,39.6,448(0),京都,15,中1週,Y,,3,ホッコータルマエ,ディープインパクト,
9,7,ヒノデテイオー,牡5,西塚,栗東・河内,差し,38.4,6,8,,38.8,460(0),京都,15,中1週,Y,,3,マジェスティックウォリアー,シンボリクリスエス,
10,8,アセレラシオン,牡3,西村淳,栗東・浜田,差し,7.6,4,3,,38.8,518(-12),福島,21,中2週,Y,,3,ドレフォン,ハーツクライ,
11,8,エスシーヤマト B,牝3,北村友,美浦・加藤士,差し,51.9,8,12,3歳以上2勝クラス,38.4,446(-8),中山,71,中9週,Y,,3,コパノリッキー,アフリート,
