馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ラインパシオン,牝2,津村,美浦・水野,差し,218.9,9,12,,41.2,398(-2),門別,37,中4週,,,2,シルバーステート,スエヒロコマンダー,
2,2,アリオーンスマイル,牡2,木幡巧,美浦・土田,差し,369.1,13,11,JRA認定,40.3,442(-8),門別,45,中5週,,,0,ディーマジェスティ,スターリングローズ,
3,3,ファビエンヌ,牝2,ミシェ,地方・佐宗応,差し,293.9,12,8,2歳一 二,41.3,432(-5),大井,29,中3週,,,0,ディスクリートキャット,アドマイヤムーン,
4,4,セイウンビッグバン,牡2,菅原明,美浦・萱野,先行,8.1,4,3,2歳1勝クラス,33.6,436(+2),東京,48,中6週,Y,,3,アドマイヤマーズ,Acclamation,
5,4,カンシン,牡2,マーカ,栗東・西園翔,逃げ,3.8,2,1,2歳新馬,34.4,466(+4),中山,69,中9週,Y,,1,ビッグアーサー,ディープインパクト,
6,5,ニシノクードクール,牝2,武藤,美浦・武藤,先行,9.0,5,9,,35.2,444(+6),京都,35,中4週,Y,,3,ホークビル,ダイワメジャー,
7,5,サウスバンク,牝2,北村宏,栗東・吉岡,逃げ,9.0,6,1,2歳新馬,35.7,490(-8),新潟,48,中6週,Y,,1,グレーターロンドン,アフリート,
8,6,マキシマムドライブ,牡2,服部茂,地方・田中淳,差し,24.7,7,3,JRA認定,39.2,524(-2),門別,45,中5週,,,1,ロードカナロア,ステイゴールド,
9,6,リケアコンパンナ B,牡2,菊沢,美浦・小野,差し,219.1,10,7,2歳未勝利,36.9,462(-2),福島,34,中4週,Y,,3,ビッグアーサー,キングヘイロー,
10,7,カガバベル,牡2,石川,美浦・萱野,差し,89.2,8,13,,34.7,524(+10),東京,35,中4週,Y,,3,タワーオブロンドン,ネオユニヴァース,
11,7,レイピア,牡2,戸崎圭,栗東・中竹,,3.0,1,3,,37.0,484(0),福島,27,中3週,Y,,3,タワーオブロンドン,エンパイアメーカー,
12,8,チョングク,牡2,小林脩,美浦・南田,差し,277.1,11,11,,37.1,468(0),福島,27,中3週,Y,,3,ディープブリランテ,アドマイヤコジーン,
13,8,ヴァージル,牡2,横山和,栗東・杉山晴,先行,4.0,3,2,,35.7,454(0),福島,27,中3週,Y,,2,ビッグアーサー,ダンスインザダーク,
