着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,6,12,ロードアヴニール,牡4,57.5,横山和,1:51.8,,1,2.0,37.9,栗東野中,484(-4)
2,7,14,サンデーファンデー,牡4,54.0,浜中,1:51.8,クビ,7,18.5,38.2,栗東音無,524(+4)
3,5,9,アクションプラン,牡4,56.0,内田博,1:52.2,2.1/2,6,12.6,38.5,美浦池上,514(+8)
4,7,13,チュウワハート,牡4,55.0,三浦,1:52.3,1/2,3,8.3,38.3,栗東大久保,520(-6)
5,8,16,キタノリューオー,牡6,57.0,津村,1:52.3,アタマ,9,35.5,37.9,美浦萱野,478(+3)
6,4,7,ブレイクフォース,牡5,57.5,田辺,1:52.4,1/2,2,5.2,37.5,美浦中舘,502(+10)
7,3,6,ニューモニュメント,牡8,57.0,石橋脩,1:52.6,3/4,16,194.9,37.1,栗東小崎,500(+12)
8,2,3,メイショウフンジン,牡6,58.0,菱田,1:52.7,1/2,5,12.0,39.0,栗東西園正,516(-1)
9,3,5,カンピオーネ,牡5,55.0,横山武,1:52.9,1,4,11.2,38.0,美浦栗田,524(+8)
10,8,15,アイファーテイオー,牡4,54.0,藤懸,1:53.0,1/2,13,92.1,38.7,栗東鮫島,472(+6)
11,5,10,ゲンパチルシファー,牡8,57.0,大野,1:53.3,2,15,156.3,39.1,栗東佐々木,506(0)
12,2,4,エクセスリターン,牡5,55.0,石川,1:53.6,1.3/4,14,111.1,37.7,栗東野中,536(+10)
13,4,8,ピースオブザライフ,牝4,53.0,斎藤,1:53.6,アタマ,11,49.1,39.4,栗東野中,480(-8)
14,1,1,ナチュラルハイ,牡4,57.0,原,1:54.0,2,10,35.7,39.8,美浦黒岩,484(+6)
15,6,11,ヒューゴ,牡4,54.0,岩田康,1:54.2,1.1/4,8,33.2,39.7,美浦加藤征,456(0)
16,1,2,クラヴィコード,牝3,51.0,酒井,1:55.6,8,12,61.1,41.7,栗東中村,486(+6)
