着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,8,レーウィン,セ3,57.0,デット,1:54.1,,1,2.4,39.1,栗東上村,508(-4)
2,7,7,ジュンラトゥール,牡3,57.0,松山,1:54.2,1,2,3.8,38.8,栗東浜田,464(-2)
3,1,1,テイエムシップ,牡5,58.0,鮫島良,1:54.3,クビ,7,25.9,38.7,栗東河嶋,524(0)
4,6,6,ダノンケイツー,牡3,57.0,岩田望,1:54.3,クビ,3,4.7,38.7,栗東寺島,452(-2)
5,2,2,ショーケン,セ4,58.0,国分恭,1:54.9,3.1/2,5,12.4,40.0,栗東鮫島,504(+6)
6,8,10,リネアグローリア,牡3,57.0,鮫島駿,1:55.7,5,4,9.3,40.5,栗東小崎,482(+6)
7,5,5,ガウロン,牡4,58.0,幸,1:56.1,2.1/2,8,38.4,40.1,栗東大根田,532(0)
8,3,3,ペロ,牡3,57.0,池添,1:56.4,1.1/2,10,59.8,41.2,栗東橋口,488(+4)
9,4,4,キングツェッペリン,牡3,55.0,△吉村,1:56.4,クビ,6,14.0,40.8,栗東牧田,458(+16)
10,8,9,ティエラサンタ,牡4,58.0,団野,1:56.6,3/4,9,51.7,40.9,栗東西村,526(+14)
