着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,3,3,アメリカンステージ,牡2,57.0,岩田康,1:09.1,,1,2.2,34.0,栗東矢作,506(0)
2,7,8,ポッドベイダー,牡2,57.0,荻野極,1:09.7,3.1/2,2,3.1,34.4,美浦上原佑,480(+6)
3,4,4,ドゥアムール,牝2,55.0,鮫島駿,1:09.9,1.1/4,4,9.3,34.2,栗東中竹,474(+12)
4,2,2,ナムラトロム,牡2,56.0,田口,1:10.0,1/2,6,24.2,34.4,美浦石栗,448(+10)
5,5,5,タガノアンファン,牡2,56.0,藤懸,1:10.2,1.1/4,3,4.6,34.3,栗東石坂,464(-2)
6,6,7,ロードヴェルト,牡2,56.0,高杉,1:10.3,1,7,30.5,34.5,栗東牧浦,424(+12)
7,1,1,ハイファイスピード,牝2,55.0,国分恭,1:10.4,クビ,5,18.7,34.9,栗東宮本,454(-4)
8,8,11,ブリッツアロング,牡2,56.0,丸山,1:10.4,1/2,9,107.8,35.2,美浦上原博,492(+2)
9,8,10,ラブアイミー,牝2,55.0,西塚,1:10.5,1/2,10,114.5,33.9,栗東森田,410(-8)
10,6,6,ヤマニンシュラ,牡2,56.0,亀田,1:10.7,3/4,8,44.6,35.3,栗東斉藤崇,474(+6)
11,7,9,ブラックトルネード,牡2,56.0,水口,1:11.9,7,11,247.0,35.7,美浦佐藤吉,462(0)
