着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,2,アドマイヤズーム,牡2,56.0,川田,1:34.1,,5,9.1,33.6,栗東友道,468(+2)
2,2,4,ミュージアムマイル,牡2,56.0,Cデム,1:34.5,2.1/2,2,3.7,33.8,栗東高柳大,494(-2)
3,2,3,ランスオブカオス,牡2,56.0,吉村,1:34.9,2.1/2,9,45.8,34.0,栗東奥村豊,498(-4)
4,1,1,ダイシンラー,牡2,56.0,横山典,1:35.3,2,12,150.4,34.9,栗東梅田,506(+2)
5,4,8,アルテヴェローチェ,牡2,56.0,武豊,1:35.4,3/4,1,3.3,34.4,栗東須貝,472(+14)
6,4,7,クラスペディア,牡2,56.0,小崎,1:35.4,クビ,14,210.3,34.7,栗東河嶋,496(+4)
7,8,15,ドラゴンブースト,牡2,56.0,田口,1:35.4,クビ,10,83.9,34.9,栗東藤野,472(+6)
8,3,5,コスモストーム,牡2,56.0,秋山稔,1:35.5,1/2,15,297.9,34.8,栗東北出,498(-2)
9,6,11,ニタモノドウシ,牡2,56.0,ムーア,1:35.8,1.1/2,6,10.9,34.7,美浦高木,464(+4)
10,3,6,アルレッキーノ,牡2,56.0,ルメー,1:35.8,ハナ,8,12.7,34.8,美浦国枝,466(+6)
11,5,9,エルムラント,牡2,56.0,藤岡佑,1:35.8,アタマ,16,299.5,34.5,美浦鹿戸,474(-2)
12,6,12,パンジャタワー,牡2,56.0,松山,1:35.8,クビ,4,9.0,35.0,栗東橋口,486(+6)
13,5,10,トータルクラリティ,牡2,56.0,北村友,1:36.1,1.3/4,3,6.6,35.6,栗東池添,474(+12)
14,7,13,エイシンワンド,牡2,56.0,幸,1:36.3,1,11,119.6,35.3,栗東大久保,482(-4)
15,8,16,タイセイカレント,牡2,56.0,坂井,1:36.3,クビ,7,12.7,35.5,栗東矢作,486(0)
16,7,14,テイクイットオール,牡2,56.0,岩田望,1:36.7,2.1/2,13,181.0,36.2,栗東中竹,446(+2)
