馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,エバーハピネス,牝5,菅原明,美浦・久保田,差し,19.8,6,7,,39.0,488(+10),中京,153,中21週,Y,,3,ドゥラメンテ,Frankel,,
2,2,サツキノジョウ,牝4,丹内,美浦・武井,先行,3.7,2,1,3歳以上1勝クラス,37.4,458(+12),中山,48,中6週,Y,,3,レイデオロ,フジキセキ,,
3,3,アンブロジアーナ,牝6,長浜,美浦・上原博,逃げ,70.5,12,1,4歳以上1勝クラス,38.5,434(+2),中山,13,中1週,Y,,3,キズナ,Perfect Soul,,
4,4,メテオールライト,牝5,ルメー,美浦・萩原,差し,7.6,4,6,,35.9,430(+2),東京,84,中11週,Y,,3,リオンディーズ,アグネスタキオン,,
5,4,ピジョンブラッド,牝6,佐々木,栗東・荒川,差し,152.0,13,9,,38.2,504(0),京都,35,中4週,Y,,3,パイロ,ダンスインザダーク,,
6,5,エンセリオ,牝4,三浦,美浦・小笠,差し,29.9,9,11,3歳以上2勝クラス,38.4,442(+2),京都,63,中8週,Y,,3,ドレフォン,ダンスインザダーク,,
7,5,クリニクラウン,牝5,菊沢,美浦・小手川,差し,28.1,8,8,,37.7,484(+6),京都,35,中4週,Y,,3,トビーズコーナー,ディープブリランテ,,
8,6,メロウヴォイス,牝6,キング,美浦・上原博,差し,15.6,5,3,,37.1,470(+16),中京,49,中6週,Y,,3,ロードカナロア,ディープインパクト,,
9,6,セイウンマカロン,牝4,津村,美浦・千葉,,21.9,7,11,3歳以上2勝クラス,38.7,448(+6),東京,62,中8週,Y,,3,ホッコータルマエ,ストリートセンス,,
10,7,サクソンジェンヌ,牝4,荻野極,栗東・高橋忠,先行,3.1,1,1,4歳以上1勝クラス,36.1,456(-2),中京,13,中1週,Y,,3,Saxon Warrior,Dark Angel,,
11,7,グレノークス,牝5,丸山,美浦・宮田,差し,4.2,3,5,,38.9,492(+2),中山,21,中2週,Y,,3,ロードカナロア,マジェスティックウォリアー,,B
12,8,バレンタインガール,牝4,北村宏,美浦・古賀,差し,46.4,11,5,,39.0,468(+8),中山,34,中4週,Y,,1,メイショウサムソン,マンハッタンカフェ,,
13,8,アヴィオンドール,牝5,武藤,美浦・手塚,先行,34.7,10,15,,37.0,536(+6),東京,77,中10週,Y,,3,ドゥラメンテ,Green Tune,,
