馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,キーチファイター,牡3,,栗東・斉藤崇,追込,54.9,12,8,3歳未勝利,37.2,470(+4),中京,13,中1週,Y,,2,ブリックスアンドモルタル,ダイワメジャー,,
2,1,メイショウタビズキ,牡3,角田和,栗東・笹田,先行,7.5,3,7,2歳新馬,34.9,448(-8),京都,35,中4週,Y,,1,レイデオロ,サウスヴィグラス,,
3,2,ノーランサンライズ,牝3,小沢,栗東・音無,先行,89.3,14,9,2歳未勝利,40.7,488(-6),京都,22,中2週,Y,,2,キタサンブラック,クロフネ,,
4,2,エンジョイドライブ,牡3,古川吉,栗東・鮫島,,10.5,6,11,2歳未勝利,41.0,476(-4),京都,50,中6週,Y,,3,フォーウィールドライブ,キャプテンスティーヴ,,
5,3,ケイアイブイスリー,牡3,藤懸,栗東・平田,先行,19.8,9,6,2歳未勝利,38.6,448(+10),京都,35,中4週,Y,,3,ルヴァンスレーヴ,Smarty Jones,,
6,3,マゴイチタ,セ3,高倉,栗東・武英,先行,46.8,10,13,3歳未勝利,36.5,460(+2),中京,13,中1週,Y,,3,ミッキーアイル,ハービンジャー,,B
7,4,スリーレジェンド,牡3,酒井,栗東・石橋,差し,67.3,13,7,2歳未勝利,38.2,500(0),京都,22,中2週,Y,,2,ダノンレジェンド,ディープスカイ,,
8,4,ランドブレイブ,牡3,国分優,栗東・安達,差し,346.1,15,10,2歳新馬,37.5,490(-2),京都,36,中4週,Y,,1,アジアエクスプレス,ブライアンズタイム,,
9,5,リュウジンマル,牡3,Ｍデム,美浦・村田,,50.0,11,8,2歳未勝利,42.9,506(-4),中山,28,中3週,Y,,3,アジアエクスプレス,スマートファルコン,,B
10,5,サンライズブレイク,牡3,西村淳,栗東・浜田,先行,5.0,2,6,2歳未勝利,39.0,504(-8),京都,22,中2週,Y,,3,フォーウィールドライブ,タニノギムレット,,
11,6,ユアマイクラッシュ,牡3,加藤,栗東・庄野,差し,459.9,16,16,2歳新馬,37.4,462(0),京都,29,中3週,Y,,1,タワーオブロンドン,ディープインパクト,,
12,6,ダンツトラバース,牡3,太宰,栗東・本田,差し,10.7,7,3,2歳新馬,38.4,480(-4),京都,29,中3週,Y,,1,フォーウィールドライブ,ロードカナロア,,
13,7,シュネーグロッケン,牡3,吉村,栗東・清水久,先行,3.3,1,3,3歳未勝利,38.1,482(-2),中京,14,中1週,Y,,3,ナダル,ロードカナロア,,B
14,7,コリカンチャ,牡3,団野,栗東・斉藤崇,差し,16.9,8,6,2歳未勝利,39.4,498(+6),京都,22,中2週,Y,,3,ブリックスアンドモルタル,キングカメハメハ,,
15,8,ボル,牡3,河原田,栗東・河内,,8.7,5,7,2歳未勝利,39.6,446(+6),中京,36,中4週,Y,,3,バゴ,アグネスタキオン,,
16,8,ワンウェイトゥヘル,牡3,松山,栗東・中村,先行,8.3,4,14,2歳未勝利,36.9,462(0),京都,29,中3週,Y,,3,タワーオブロンドン,Flying Spur,,
