着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,2,ドゥータップ,牡4,58.0,松山,1:11.1,,1,1.8,36.0,栗東藤原,508(+4)
2,1,1,モンドプリューム,牡5,58.0,横山武,1:11.3,1.1/2,9,24.2,35.5,美浦水野,504(0)
3,2,4,ストームバンガード,牡4,58.0,幸,1:11.6,1.3/4,3,8.9,36.4,栗東岡田,492(-12)
4,7,14,アンシール,セ4,58.0,武豊,1:11.6,ハナ,2,6.6,35.5,栗東小崎,478(+4)
5,4,7,プレイテシア,牝6,56.0,角田和,1:11.7,クビ,11,28.8,36.3,栗東羽月,434(-6)
6,3,5,エブリモーメント,牡4,58.0,岩田康,1:11.7,クビ,5,15.6,35.6,栗東牧田,502(-2)
7,8,16,ロンズデーライト,牡7,58.0,北村友,1:11.8,クビ,10,24.5,36.0,栗東高橋一,518(+2)
8,5,9,ビップシュプリーム,牝6,56.0,鮫島駿,1:11.8,クビ,7,20.1,35.9,栗東松下,512(-2)
9,4,8,スペシャルナンバー,牡6,58.0,西村淳,1:11.8,ハナ,8,24.2,35.2,栗東西村,504(0)
10,3,6,ペプチドハドソン,牡5,58.0,坂井,1:11.9,クビ,4,12.7,36.5,栗東小椋,490(0)
11,5,10,スズカコーズ,牡5,58.0,団野,1:12.0,3/4,12,89.7,36.0,美浦伊藤圭,498(-2)
12,6,12,ブルーノート,牡6,58.0,荻野琢,1:12.2,1,15,198.9,35.9,栗東梅田,512(+12)
13,2,3,グランドエスケープ,牡4,58.0,Mデム,1:12.5,2,14,182.3,36.0,栗東藤沢,492(0)
14,8,15,メイショウナナクサ,牝5,56.0,菱田,1:13.2,4,13,105.5,36.7,栗東笹田,446(+12)
15,7,13,サクハル,牡6,58.0,長岡,1:13.3,クビ,16,262.8,37.8,栗東今野,504(-2)
16,6,11,ミライテーラー,牝4,56.0,岩田望,1:13.4,1/2,6,18.8,38.1,栗東緒方,476(+4)
