着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,6,9,アピーリングルック,牝4,55.0,戸崎圭,1:53.7,,2,3.3,37.4,美浦辻,472(0)
2,6,8,ピコニ,牡4,57.0,木幡巧,1:54.1,2.1/2,7,40.0,37.9,美浦牧,494(0)
3,3,3,ホウキボシ,セ5,58.0,キング,1:54.1,クビ,1,1.8,37.6,美浦堀,516(0)
4,8,12,クラウンシエンタ,牡4,57.0,三浦,1:54.4,1.3/4,6,22.2,37.5,美浦水野,502(+10)
5,7,11,アラレタバシル,牡4,57.0,野中,1:54.5,クビ,3,8.0,37.7,美浦根本,464(0)
6,4,5,サパテアール,セ6,58.0,石川,1:54.7,1.1/2,5,18.6,37.5,美浦畠山,524(+2)
7,2,2,カイコウ,セ4,57.0,大野,1:54.8,クビ,10,109.2,38.2,美浦田島,460(0)
8,7,10,レオカクテル,牡7,58.0,丸田,1:55.3,3,9,73.2,37.5,美浦萱野,514(+4)
9,8,13,オセアバトルプラン,牡5,58.0,内田博,1:55.3,ハナ,8,53.9,37.8,美浦菊川,484(-6)
10,5,7,マーシャルポイント,牡4,57.0,ルメー,1:55.4,1/2,4,10.4,39.0,美浦木村,480(+4)
11,1,1,デルマタモン,牡7,58.0,北村宏,1:55.5,1/2,12,159.3,38.4,美浦勢司,516(0)
12,4,4,ヤウガウ,セ8,58.0,横山琉,1:55.6,1/2,13,180.1,38.1,美浦金成,508(+20)
13,5,6,コスモオピニオン,牡5,58.0,菅原明,1:56.5,5,11,116.1,39.8,美浦黒岩,514(+2)
