着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,12,タイセイブリリオ,牡6,58.0,北村宏,1:11.1,,5,18.1,37.5,栗東大橋,482(-2)
2,2,2,ムーヴ,牡6,58.0,三浦,1:11.3,1.1/4,2,4.3,36.4,美浦池上,478(-4)
3,4,6,パルデンス,牡7,58.0,内田博,1:11.4,クビ,8,29.5,37.0,美浦森一,498(-2)
4,4,7,ベンダバリラビア,牡5,58.0,キング,1:11.5,1/2,6,20.4,37.3,栗東寺島,540(+2)
5,3,4,カフジエニアゴン,牝6,56.0,木幡巧,1:11.5,クビ,15,228.2,37.9,栗東木原,494(0)
6,8,14,エメラルドビーチ,牡5,58.0,岩田望,1:11.6,1/2,9,38.5,36.9,栗東大久保,528(0)
7,3,5,ビルカール,牡5,58.0,田辺,1:11.6,ハナ,10,48.4,38.2,美浦水野,478(0)
8,8,15,ホワイトガーベラ,牡6,58.0,大野,1:11.6,ハナ,14,85.0,37.1,美浦千葉,510(+10)
9,5,8,サザンステート,牡6,58.0,石橋脩,1:11.7,1/2,11,51.4,37.8,美浦上原佑,504(+4)
10,2,3,アイアムユウシュン,牡4,58.0,戸崎圭,1:11.8,クビ,1,2.2,38.0,美浦奥平,516(0)
11,6,10,コパノハンプトン,牡5,58.0,松岡,1:11.8,クビ,7,27.5,37.7,栗東宮,514(-4)
12,7,13,ダテボレアス,牡6,58.0,Aルメ,1:12.0,3/4,13,76.6,38.1,栗東西園正,488(-2)
13,6,11,オウバイトウリ,牝4,56.0,津村,1:12.0,クビ,3,4.7,38.1,栗東武幸,478(0)
14,5,9,アシャカタカ,牡5,58.0,横山武,1:12.2,1.1/4,4,12.2,38.9,美浦鈴木伸,480(+8)
15,1,1,レアグリフォン,牡4,58.0,横山琉,1:13.1,5,12,66.3,38.9,美浦稲垣,472(+6)
