着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,6,ダブルハートボンド,牝4,55.0,坂井,1:52.2,,1,1.6,36.9,栗東大久保,476(-2)
2,1,1,ネバーモア,牝4,55.0,藤岡佑,1:52.8,3.1/2,2,5.0,37.1,栗東宮本,494(+2)
3,2,2,サトノアイオライト,牝4,55.0,川田,1:52.8,クビ,4,8.7,37.3,栗東吉村,484(+8)
4,3,3,クレメダンジュ,牝5,56.0,吉村,1:53.0,1.1/4,10,101.0,37.2,栗東鈴木孝,476(+2)
5,8,12,メイショウオーロラ,牝5,56.0,田口,1:53.0,ハナ,9,75.1,36.7,栗東本田,506(-4)
6,6,7,バスタードサフラン,牝4,55.0,酒井,1:53.2,3/4,5,12.5,38.0,栗東渡辺,466(-2)
7,7,9,ヘニータイフーン,牝5,56.0,岩田望,1:53.2,クビ,6,22.3,37.2,栗東中村,500(+2)
8,8,11,ヨリノサファイヤ,牝5,56.0,川又,1:53.3,クビ,11,244.8,37.3,美浦根本,518(-12)
9,6,8,バロネッサ,牝4,55.0,松山,1:53.7,2.1/2,3,6.4,38.2,美浦田中博,514(+10)
10,4,4,フラッパールック,牝5,56.0,西村淳,1:54.2,2.1/2,7,58.8,38.3,美浦林,458(0)
11,7,10,メイショウポペット,牝5,56.0,岩田康,1:54.3,1/2,8,65.1,38.8,栗東角田,502(+4)
12,5,5,レディーシス,牝6,56.0,国分優,1:54.7,2.1/2,12,494.0,38.9,栗東小崎,438(+4)
