着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,5,ハヤテノフクノスケ,牡4,56.0,岩田望,3:02.9,,1,2.4,35.1,栗東中村,540(+6)
2,4,4,ミステリーウェイ,セ7,55.0,団野,3:03.8,5,5,13.7,35.9,栗東小林,504(-4)
3,8,9,サンライズソレイユ,牡4,56.0,坂井,3:03.8,アタマ,2,2.7,36.2,栗東矢作,526(0)
4,8,10,リンフレスカンテ,牡7,56.0,松山,3:04.4,3.1/2,4,7.6,36.4,栗東宮本,448(0)
5,6,6,ウインエアフォルク,牡8,54.0,幸,3:04.8,2.1/2,10,95.1,37.1,美浦根本,486(+10)
6,7,8,キングサーガ,セ8,55.0,Mデム,3:04.8,ハナ,8,38.9,37.4,栗東小栗,496(+20)
7,3,3,シリアルノヴェル,牡5,55.0,西村淳,3:05.2,2.1/2,6,20.2,38.0,美浦伊藤圭,486(+2)
8,7,7,グランアルティスタ,牡4,55.0,武豊,3:05.6,2.1/2,3,6.7,37.4,栗東寺島,526(+2)
9,1,1,ナムラカミカゼ,牡8,52.0,和田竜,3:07.1,9,9,79.5,39.6,栗東村山,502(+2)
10,2,2,タクシンイメル,牝4,50.0,酒井学,3:10.9,大,7,33.9,43.0,栗東武英,472(-6)
