馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ナムラローズマリー,牝4,武豊,栗東・羽月,逃げ,2.6,1,10,,37.1,454(-8),小倉,36,中4週,Y,,3,ミッキーアイル,ヨハネスブルグ,
2,2,ブルーシンフォニー,牡7,岩田望,美浦・伊藤圭,差し,56.0,11,15,,38.6,476(-10),中山,55,中7週,Y,,3,スクリーンヒーロー,コマンズ,
3,3,ジャスパーノワール,牡4,西村淳,栗東・森秀,,7.6,4,9,,37.3,514(+6),小倉,36,中4週,Y,,3,Frosted,Medaglia d'Oro,
4,4,アンクルクロス,牡4,長岡,栗東・高橋亮,差し,2.9,2,4,,33.3,474(-4),京都,71,中9週,Y,,3,タリスマニック,ダンスインザダーク,
5,5,メイショウエニシア,牝7,藤懸,栗東・本田,,132.6,12,16,,36.8,464(+2),小倉,22,中2週,Y,,3,リアルインパクト,バゴ,
6,5,ロードトレイル,牡4,高杉,栗東・藤岡,先行,19.5,6,4,,36.6,494(+8),小倉,36,中4週,Y,,3,ロードカナロア,ディープインパクト,
7,6,ヤマニンアンフィル,牝6,団野,栗東・斉藤崇,差し,13.3,5,3,,34.5,486(-2),中京,91,中12週,Y,,3,ダイワメジャー,スウェプトオーヴァーボード,
8,6,ツインクルトーズ B,牝5,古川吉,美浦・牧,差し,32.9,7,8,,33.9,518(0),中山,7,連闘,Y,,3,マインドユアビスケッツ,サクラバクシンオー,
9,7,ウルトラソニック,牡7,吉田隼,栗東・中尾,先行,48.1,9,10,,35.0,482(+12),小倉,22,中2週,Y,,3,ドゥラメンテ,アドマイヤドン,
10,7,アドヴァイス B,牝6,岩田康,栗東・中村,先行,54.2,10,15,,37.4,486(+4),小倉,36,中4週,Y,,3,モーリス,ダイワメジャー,
11,8,エマヌエーレ,牡5,荻野極,栗東・平田,先行,6.5,3,2,,34.8,510(+2),小倉,22,中2週,Y,,3,ロードカナロア,ハーツクライ,
12,8,ニシノコウダイ,牡5,西塚,栗東・長谷川,差し,33.4,8,6,,34.4,488(-10),京都,14,中1週,Y,,3,アメリカンペイトリオット,ルーラーシップ,
