着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,9,ゲルチュタール,牡3,57.0,坂井,2:24.6,,2,4.0,34.7,栗東杉山晴,526(-8)
2,2,2,マイユニバース,牡3,57.0,横山典,2:24.7,3/4,6,9.8,34.3,栗東武幸,468(+6)
3,6,7,コーチェラバレー,牡3,57.0,北村友,2:25.0,1.1/2,3,4.6,34.4,栗東安田,434(-2)
4,4,4,パッションリッチ,牡3,57.0,幸,2:25.0,クビ,7,22.0,34.9,美浦久保田,476(-2)
5,7,10,サトノブリジャール,牡3,57.0,川田,2:25.0,クビ,1,3.9,34.7,栗東友道,464(0)
6,6,8,オーシンエス,牡3,57.0,高杉,2:25.4,2,11,174.0,34.7,栗東宮,462(-6)
7,5,6,フォーキャンドルズ,牡3,57.0,古川吉,2:25.5,3/4,10,45.5,35.1,栗東本田,502(0)
8,3,3,スリーキングス,牡3,57.0,岩田康,2:25.6,1/2,5,8.7,35.5,栗東上村,504(+4)
9,1,1,サンライズグラシア,牡3,57.0,松山,2:26.5,5,8,33.1,35.4,栗東矢作,478(0)
10,8,11,キングメーカー,牡3,57.0,武豊,2:26.5,クビ,4,5.3,36.1,栗東須貝,492(-2)
11,8,12,ジーティーアメリカ,牡3,57.0,藤岡佑,2:28.2,10,9,44.4,38.4,栗東吉岡,524(+4)
12,5,5,ヴェーヌドール,牡3,57.0,岩田望,2:30.4,大,12,195.2,40.3,栗東武英,528(+2)
