着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,9,ピコチャンブラック,牡3,57.0,石橋脩,1:51.5,,2,4.1,38.1,美浦上原佑,488(-2)
2,7,10,フクノブルーレイク,牡3,57.0,松岡,1:51.5,クビ,7,13.0,37.6,美浦竹内,452(0)
3,6,7,キングスコール,牡3,57.0,藤岡佑,1:51.8,1.3/4,1,3.8,38.1,栗東矢作,496(+2)
4,6,8,マテンロウバローズ,牡3,57.0,横山典,1:51.9,クビ,4,5.7,37.8,栗東昆,478(-2)
5,8,12,スワローシチー,牡3,57.0,田辺,1:52.0,3/4,8,21.9,37.5,美浦相沢,460(-4)
6,8,11,スナークピカソ,牡3,57.0,菅原明,1:52.1,クビ,11,70.8,38.0,栗東高橋一,468(-4)
7,5,5,レーヴブリリアント,牡3,57.0,ルメー,1:52.1,クビ,5,10.4,37.4,美浦田中博,448(+2)
8,5,6,ジェットマグナム,牡3,57.0,津村,1:52.1,ハナ,6,12.1,38.0,栗東安達,484(-4)
9,4,4,ニホンピロデヴィン,牡3,57.0,小沢,1:52.2,1/2,10,38.5,38.4,栗東緒方,448(+6)
10,1,1,ダノンセンチュリー,牡3,57.0,戸崎圭,1:52.3,1/2,3,5.3,38.9,美浦萩原,460(0)
11,2,2,ローレルオーブ,牡3,57.0,原,1:52.4,3/4,12,217.3,37.9,栗東杉山佳,460(+6)
12,3,3,クモヒトツナイ,牡3,57.0,横山和,1:54.0,10,9,24.0,40.3,美浦堀内,472(-8)
