着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,3,タイトニット,牡5,57.0,坂井,2:06.5,,1,3.4,36.3,栗東今野,568(0)
2,7,12,ビップスコーピオン,牡5,56.0,Mデム,2:06.6,3/4,4,8.8,36.2,美浦田島,452(-8)
3,4,6,ニューバラード,牡4,55.0,鮫島駿,2:07.0,2,5,9.5,37.2,美浦尾関,514(-10)
4,7,13,ホークフィールド,牡4,56.0,富田,2:07.2,1,2,4.1,37.3,栗東武英,492(+4)
5,2,2,タンゴバイラリン,牡4,55.0,高杉,2:07.2,クビ,3,6.8,36.7,美浦栗田,514(0)
6,1,1,キュールエフウジン,牡6,56.0,松若,2:07.3,1/2,8,23.0,36.3,栗東中尾,498(-2)
7,3,4,ラップスター,牡5,55.0,渡辺竜,2:07.5,1,6,12.8,37.4,栗東森秀,518(-12)
8,8,15,アルムラトゥール,牡5,54.0,団野,2:07.5,ハナ,12,37.8,37.0,栗東西園翔,490(-14)
9,5,9,ヨリノサファイヤ,牝5,52.0,川又,2:07.6,1/2,14,41.5,37.7,美浦根本,514(-4)
10,8,14,イーサンバーニング,牡6,54.0,田口,2:08.0,2.1/2,15,110.9,36.7,栗東藤野,512(+16)
11,6,11,ミタマ,牝5,52.0,酒井,2:08.0,クビ,9,24.6,38.0,栗東小崎,492(+6)
12,4,7,グランアルティスタ,牡4,55.0,幸,2:08.2,3/4,11,37.4,37.6,栗東寺島,526(0)
13,6,10,クレメダンジュ,牝5,54.0,吉村,2:08.4,1.1/2,7,19.6,37.7,栗東鈴木孝,470(-6)
14,5,8,アスクビックスター,牡6,55.0,丸山,2:08.5,3/4,13,40.1,38.1,栗東矢作,478(0)
15,3,5,バールデュヴァン,牡5,54.0,古川吉,2:08.8,1.3/4,10,35.3,38.0,栗東浜田,522(+6)
