着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,9,ソルトクィーン,牝4,56.0,藤岡佑,1:21.0,,3,4.8,35.0,栗東武英,442(-4)
2,3,5,メイショウピース,牝5,56.0,菅原明,1:21.1,1/2,4,8.6,35.0,栗東高橋亮,474(0)
3,6,12,サクラオーラ,牝6,56.0,斎藤,1:21.1,アタマ,7,29.0,34.6,栗東河嶋,440(-4)
4,8,17,クイックバイオ,牝4,56.0,永島,1:21.2,1/2,15,173.7,34.8,栗東須貝,494(+2)
5,4,8,ルージュスエルテ,牝4,56.0,ルメー,1:21.2,クビ,1,2.5,34.1,美浦国枝,468(-18)
6,1,2,メイショウコギク,牝5,56.0,秋山稔,1:21.4,1,13,157.0,35.0,栗東石橋,458(+6)
7,3,6,モズアンタレス,牝5,56.0,北村友,1:21.5,クビ,6,19.0,35.3,栗東飯田,506(+14)
8,8,16,マルプリ,牝5,56.0,杉原,1:21.5,アタマ,10,83.8,34.7,美浦青木,470(-12)
9,1,1,ディオアステリア,牝6,56.0,角田和,1:21.6,1/2,14,159.2,35.9,美浦小野,480(-8)
10,2,3,テラメリタ,牝4,56.0,岩田望,1:21.6,ハナ,5,9.7,34.6,栗東須貝,484(+8)
11,5,10,アサギリ,牝4,56.0,丹内,1:21.6,クビ,9,57.4,34.9,美浦尾形,446(-6)
12,7,13,セレッソデアモール,牝5,56.0,川須,1:21.7,クビ,16,239.8,34.9,栗東庄野,486(0)
13,4,7,ノーブルマルシェ,牝5,56.0,亀田,1:21.8,クビ,17,492.0,34.7,美浦久保田,458(0)
13,7,14,エチャケナ,牝4,56.0,丸山,1:21.8,クビ,11,115.3,35.8,美浦金成,444(+2)
15,8,15,ケイデンシーマーク,牝5,56.0,団野,1:21.8,クビ,2,4.0,35.2,栗東福永,446(+2)
16,2,4,トゥーテイルズ,牝5,56.0,西塚,1:21.8,アタマ,12,118.1,34.6,栗東藤原,468(+6)
17,6,11,ベルブリエ,牝4,56.0,シュタ,1:21.9,1/2,8,41.2,35.2,美浦尾関,456(+2)
