着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,9,メイショウカズサ,牡8,60.0,森一,3:18.2,,5,7.7,13.8,栗東安達,486(-4)
2,8,11,アルデドゥオーモ,牡4,59.0,五十嵐,3:18.5,1.3/4,4,6.2,13.8,美浦矢野,492(0)
3,3,3,アルカンサス,牡6,57.0,▲土田,3:18.7,1.1/2,1,3.8,13.8,美浦土田,486(+2)
4,5,5,ウィズユアドリーム,牡5,60.0,高田,3:18.8,3/4,2,4.2,13.8,栗東宮地,504(0)
5,5,6,カルマンフィルター,牡4,59.0,草野,3:18.8,ハナ,3,4.4,13.8,美浦戸田,494(-4)
6,6,7,モーソンピーク,牡8,57.0,▲坂口,3:19.4,3.1/2,6,9.5,13.8,美浦浅利,510(-2)
7,7,10,アルマドラード,セ7,60.0,上野,3:19.9,3,7,24.3,13.9,美浦小笠,534(+24)
8,8,12,ユイノコキュウ,牡4,59.0,大江圭,3:20.1,1.1/4,8,31.4,13.9,美浦竹内,484(+4)
9,6,8,アルマーザアミール,牡4,59.0,小牧加,3:21.0,5,9,41.0,14.0,栗東斉藤崇,486(0)
10,1,1,ケンヴァイザッハ,牡5,60.0,伴,3:21.2,3/4,12,123.5,14.0,美浦石栗,448(+6)
11,4,4,リーゼントジャンボ,牡7,60.0,難波,3:22.3,7,10,71.7,14.0,美浦小手川,528(+2)
12,2,2,バレンタインソング,牡5,60.0,黒岩,3:29.0,大,11,88.9,14.5,栗東小崎,468(+6)
