馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,セイキュート,牝3,横山和,栗東・四位,差し,5.1,2,5,3歳未勝利,37.7,464(0),中京,84,中11週,Y,,3,サトノダイヤモンド,Equal Stripes,,
2,2,ヤマニンヒストリア,牡3,吉村,栗東・中村,差し,95.0,11,7,3歳未勝利,41.1,452(-12),阪神,15,中1週,Y,,3,サトノクラウン,ディープインパクト,,
3,3,レヴィストーン,牡3,和田陽,栗東・小椋,差し,382.6,14,12,3歳未勝利,41.6,490(+4),中京,15,中1週,Y,,2,ミッキーアイル,ホワイトマズル,,B
4,3,ジーティームッシュ,牡3,横山武,栗東・矢作,追込,6.5,4,8,3歳未勝利,34.0,432(-4),阪神,14,中1週,Y,,1,ブリックスアンドモルタル,ジャングルポケット,,
5,4,ロックエンジェル,牡3,シュタ,栗東・友道,,6.2,3,7,3歳未勝利,36.4,454(-2),中京,22,中2週,Y,,2,エピファネイア,ディープインパクト,,
6,4,タイセイルシエル,牡3,高杉,栗東・松下,差し,41.3,9,9,3歳未勝利,35.6,426(+2),京都,43,中5週,Y,,3,レイデオロ,チチカステナンゴ,,
7,5,ジューンノールック,牝3,高倉,栗東・武英,差し,71.8,10,13,3歳未勝利,40.3,492(-2),阪神,7,連闘,Y,,3,リアルスティール,Acclamation,,
8,5,シカレ,牝3,松山,栗東・前川,差し,11.2,6,5,3歳未勝利,35.3,412(0),阪神,8,連闘,Y,,3,American Pharoah,Easing Along,,
9,6,サンライズロジャー,牡3,荻野琢,栗東・加藤公,差し,39.3,8,11,3歳未勝利,40.1,528(+12),中京,84,中11週,Y,,3,ロジャーバローズ,アグネスタキオン,,
10,6,マイネルトラキア,牡3,丹内,美浦・上原博,差し,9.9,5,6,3歳未勝利,35.8,454(-2),中山,35,中4週,Y,,3,ゴールドシップ,キンシャサノキセキ,,
11,7,サンライズシュガー,牡3,田山,栗東・新谷,,14.8,7,,,,510(0),,,,,,,キタサンブラック,ロージズインメイ,,
12,7,メイショウアゴナス,牡3,古川吉,栗東・本田,差し,2.5,1,5,3歳未勝利,33.5,464(0),阪神,15,中1週,Y,,3,スワーヴリチャード,フレンチデピュティ,,
13,8,アルファシリウス,牡3,古川奈,栗東・矢作,追込,213.3,13,13,3歳未勝利,36.1,462(-2),阪神,8,連闘,Y,,1,オルフェーヴル,オペラハウス,,B
14,8,ハギノデュエット,牝3,柴田裕,栗東・中竹,追込,121.3,12,9,3歳未勝利,36.9,464(0),中京,21,中2週,Y,,3,ミッキーアイル,ダイワメジャー,,
