馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ハグ,牡3,シュタ,栗東・藤岡,先行,24.3,7,2,,36.9,498(-2),中京,21,中2週,Y,,3,Justify,Afleet Alex,
2,2,アスタールフナ,牝3,池添,栗東・中竹,逃げ,49.7,12,1,3歳1勝クラス,37.4,440(-4),中山,14,中1週,Y,,3,ジョーカプチーノ,More Than Ready,
3,2,コスモストーム,牡3,松山,栗東・北出,先行,29.1,9,11,,38.5,502(0),中山,77,中10週,Y,,2,デクラレーションオブウォー,キングカメハメハ,
4,3,トリリオンボーイ,牡3,吉田隼,美浦・武井,差し,62.7,13,6,,36.2,470(0),中京,21,中2週,Y,,3,マクフィ,ルーラーシップ,
5,3,タイセイカレント,牡3,岩田康,栗東・矢作,差し,64.8,14,11,,35.0,466(-8),中京,15,中1週,Y,,2,モーリス,Galileo,
6,4,ヤマニンバロネス,牝3,岩田望,栗東・千田,先行,35.2,10,1,3歳1勝クラス,37.1,454(-4),京都,63,中8週,Y,,2,シニスターミニスター,ディープインパクト,
7,4,ドラゴンウェルズ,牡3,北村友,栗東・藤原,,10.9,5,1,3歳1勝クラス,36.3,474(+2),京都,64,中8週,Y,,3,Frosted,エスケンデレヤ,
8,5,ハクサンアイリス,牡3,鮫島駿,栗東・高橋一,先行,88.6,15,2,3歳1勝クラス,37.5,482(-4),中山,14,中1週,Y,,3,ハクサンムーン,デュランダル,
9,5,モズナナスター,牝3,田口,栗東・矢作,先行,43.2,11,12,,34.9,446(-4),中京,15,中1週,Y,,3,モズアスコット,アグネスデジタル,
10,6,ドンパッショーネ,牡3,,栗東・斉藤崇,,28.1,8,1,3歳1勝クラス,37.7,516(-6),阪神,22,中2週,Y,,3,Quality Road,Circular Quay,
11,6,アメリカンビキニ,牝3,西村淳,栗東・斉藤崇,,5.4,3,2,,34.2,492(-4),京都,42,中5週,Y,,2,American Pharoah,Bernardini,
12,7,ポールセン,牡3,モレイ,美浦・斎藤誠,先行,2.7,1,4,,36.7,476(-8),中京,21,中2週,Y,,3,Into Mischief,Candy Ride,
13,7,ヤマニンチェルキ,牡3,酒井,栗東・中村,先行,10.8,4,1,3歳1勝クラス,36.5,524(-4),阪神,35,中4週,Y,,3,フォーウィールドライブ,ヤマニンセラフィム,
14,8,ベルギューン,牝3,高杉,栗東・牧浦,先行,4.1,2,1,3歳1勝クラス,37.7,464(0),阪神,28,中3週,Y,,2,ナダル,ヴァーミリアン,
15,8,マサノユニコーン,牡3,横山琉,美浦・小島,先行,21.6,6,1,3歳1勝クラス,36.8,456(-4),中山,28,中3週,Y,,3,ルヴァンスレーヴ,フレンチデピュティ,
