着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,6,8,アンゴラブラック,牝4,56.0,戸崎圭,1:58.2,,1,3.1,33.9,美浦尾関,466(-6)
2,7,9,クロシェットノエル,牝4,56.0,モレイ,1:58.3,クビ,2,3.1,33.6,美浦戸田,454(+2)
3,7,10,エバーハピネス,牝5,56.0,菅原明,1:58.3,クビ,6,16.7,33.7,美浦久保田,480(0)
4,3,3,フラミニア,牝5,56.0,松山,1:58.5,1.1/4,7,25.8,33.6,美浦森一,470(-4)
5,1,1,テリオスサラ,牝4,56.0,横山武,1:58.6,1/2,4,6.2,34.6,美浦高柳瑞,474(+2)
6,2,2,ピンクジン,牝5,56.0,小林脩,1:58.7,1/2,12,177.6,34.0,美浦南田,434(-8)
7,8,12,ブラックヴァール,牝5,56.0,横山和,1:59.1,2.1/2,5,8.2,35.0,美浦菊川,470(+4)
8,5,5,ルーチェロッサ,牝5,56.0,津村,1:59.2,アタマ,10,115.9,34.7,美浦相沢,468(-2)
9,8,11,カンティアーモ,牝4,56.0,ルメー,1:59.2,アタマ,3,5.2,34.8,美浦木村,518(+14)
10,6,7,ガールズレジェンド,牝5,56.0,佐々木,1:59.3,1/2,8,55.6,35.2,美浦上原佑,472(+6)
11,5,6,エメリヨン,牝5,56.0,西村淳,1:59.8,3,9,89.9,35.4,美浦加藤士,468(+8)
12,4,4,バガリーロータス,牝4,56.0,丹内,2:00.1,1.3/4,11,165.6,34.9,栗東石坂,448(-8)
