馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,テイエムマジック,牡7,難波,栗東・鈴木孝,先行,3.8,1,2,障害4歳以上未勝利,13.9,516(+2),阪神,21,中2週,Y,,3,マジェスティックウォリアー,スペシャルウィーク,,B
2,2,ネイチャーシップ,牡7,,美浦・根本,差し,9.0,6,3,障害4歳以上未勝利,13.8,504(-2),中山,28,中3週,Y,,3,ゴールドシップ,アルデバランII,,
3,3,アメリカンピース,セ7,小坂,栗東・東田,,7.9,5,5,障害4歳以上未勝利,14.0,460(+2),阪神,21,中2週,Y,,3,Tapit,Ghostzapper,,
4,3,デスティネ,牡8,土田,美浦・萱野,差し,69.1,11,7,,38.2,476(-8),浦和,179,中25週,,,0,リアルインパクト,ミシル,,
5,4,タマモエース,牡6,小野寺,栗東・宮地,先行,4.1,2,2,障害4歳以上未勝利,14.1,492(+2),阪神,35,中4週,Y,,3,ワールドエース,サウスヴィグラス,,
6,4,ロードプレジール,牡7,西谷誠,栗東・中内田,差し,6.7,4,10,,35.1,498(-2),阪神,21,中2週,Y,,3,キングカメハメハ,ディープインパクト,,
7,5,マイネルクロンヌ,牡8,五十嵐,美浦・青木,差し,34.6,9,13,,39.0,510(-2),中山,43,中5週,Y,,3,オルフェーヴル,マイネルラヴ,,
8,5,アルカンサス,牡6,,美浦・土田,差し,16.3,7,3,障害4歳以上未勝利,13.8,472(-14),中山,14,中1週,Y,,3,シルバーステート,Orientate,,B
9,6,グラヴィテ,牝7,小牧加,栗東・藤野,先行,32.1,8,6,障害4歳以上未勝利,13.8,506(+6),中山,28,中3週,Y,,3,ネオユニヴァース,キングカメハメハ,,
10,6,ミラクルジニア,牡4,上野,美浦・粕谷,差し,5.5,3,,,0.0,468(0),中山,42,中5週,Y,,3,ダンカーク,ネオユニヴァース,,
11,7,シュウズダイヤ,セ4,井上,美浦・戸田,差し,157.7,14,12,3歳未勝利,40.2,470(-14),福島,287,中40週,Y,Y,3,オルフェーヴル,フレンチデピュティ,,
12,7,メネラオス,牡4,森一,栗東・奥村豊,追込,45.8,10,6,障害4歳以上未勝利,13.6,560(-2),小倉,64,中8週,Y,,3,アジアエクスプレス,Dansili,,
13,8,ストラクチャー,セ4,草野,美浦・和田郎,差し,81.5,13,8,障害4歳以上未勝利,13.7,434(-6),小倉,56,中7週,Y,,3,リアルスティール,マンハッタンカフェ,,
14,8,アルファインディ,牡5,坂口,美浦・武藤,差し,78.2,12,5,障害4歳以上未勝利,14.0,442(-2),小倉,49,中6週,Y,,3,モーリス,ディープインパクト,,B
