着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,15,ビダーヤ,牡4,58.0,モレイ,1:22.9,,1,2.3,35.0,栗東矢作,486(-8)
2,6,11,ストレングス,牡4,58.0,ルメー,1:23.4,3,2,4.3,35.8,栗東寺島,470(+6)
3,1,1,アッチャゴーラ,牡5,58.0,小崎,1:23.7,1.3/4,8,32.8,35.2,美浦浅利,508(+2)
4,3,6,ムーヴ,牡6,58.0,三浦,1:23.7,ハナ,5,21.2,35.4,美浦池上,480(+8)
5,8,16,ペプチドタイガー,牡5,58.0,横山武,1:23.8,3/4,7,27.6,36.0,栗東吉村,450(-6)
6,6,12,ヴァンドーム,牡4,58.0,横山和,1:24.0,1,4,6.7,34.8,栗東安田,506(0)
7,7,13,エストレヤデベレン,牡4,58.0,津村,1:24.1,3/4,3,5.1,35.9,栗東武幸,544(+2)
8,1,2,アンシール,セ4,58.0,石橋脩,1:24.2,3/4,12,71.0,35.3,栗東小崎,470(0)
9,5,10,ショウナンアビアス,牡5,58.0,菅原明,1:24.3,1/2,9,42.8,36.5,美浦加藤士,502(-6)
10,2,3,マッシャーブルム,牡4,58.0,戸崎圭,1:24.4,クビ,10,54.3,36.9,栗東前川,516(-16)
11,4,8,バルミュゼット,牡6,58.0,原,1:24.5,1/2,15,279.2,34.8,栗東藤野,526(-8)
12,2,4,セミマル,牡5,58.0,松山,1:24.7,1.1/2,11,59.6,36.4,栗東西村,526(0)
13,7,14,ジャスリー,牡5,58.0,ディー,1:24.7,ハナ,6,23.7,36.9,美浦田島,532(-10)
14,4,7,ビートエモーション,セ6,58.0,佐々木,1:24.8,1/2,14,160.5,36.2,美浦上原佑,500(-6)
15,5,9,グラスシフォン,牝5,56.0,木幡巧,1:25.1,1.3/4,16,293.1,36.0,美浦松山,432(-2)
16,3,5,ハードワイヤード,牡5,58.0,大野,1:25.4,1.3/4,13,88.2,36.2,美浦加藤征,518(+4)
