着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,16,キタノズエッジ,牡4,56.0,古川吉,1:10.2,,1,4.3,35.4,栗東畑端,534(0)
2,6,12,カフジエニアゴン,牝6,54.0,和田竜,1:10.3,3/4,9,30.7,35.9,栗東杉山佳,520(0)
3,8,15,サザンエルフ,牝6,55.0,横山和,1:10.3,アタマ,7,18.9,36.1,美浦中川,482(0)
4,7,14,ムーム,牝4,53.0,川又,1:10.3,ハナ,5,12.4,36.3,栗東杉山佳,466(+4)
5,2,4,タガノミスト,牝4,54.0,松山,1:10.6,1.3/4,3,4.7,36.4,栗東渡辺,480(-2)
6,6,11,アロットドリーム,牝5,53.0,太宰,1:10.6,ハナ,14,96.1,36.0,栗東本田,454(+2)
7,5,9,キタノソワレ,牝4,54.0,鮫島良,1:10.8,1.1/2,10,31.6,35.1,美浦本間,474(0)
8,3,6,メイショウホウレン,牡4,56.0,武豊,1:10.9,1/2,2,4.4,37.0,栗東安達,510(0)
9,1,2,ブレーザー,牡4,54.0,菱田,1:11.0,クビ,16,107.8,36.1,美浦伊坂,524(+4)
10,4,7,ネイト,牝6,53.0,吉村,1:11.1,3/4,6,14.7,36.7,栗東小栗,458(+8)
11,1,1,パルデンス,牡7,55.0,丹内,1:11.1,アタマ,11,47.1,35.5,美浦森一,498(+12)
12,4,8,カミーロ,牡5,57.0,幸,1:11.2,クビ,4,6.6,36.7,栗東石橋,490(0)
13,2,3,ミラバーグマン,牝7,54.0,鮫島駿,1:11.5,1.3/4,12,89.2,36.2,栗東西村,470(+8)
14,5,10,ダルダヌス,牡6,55.0,藤岡佑,1:11.6,1,15,107.1,36.2,美浦尾関,554(-16)
15,3,5,ミユキアイラブユー,セ6,56.0,菅原明,1:11.7,1/2,8,26.7,36.4,美浦小島,566(0)
16,7,13,ゴッドセンド,牡5,54.0,浜中,1:11.9,1.1/2,13,90.8,37.3,栗東浜田,500(0)
