馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,キングスコール,牡3,坂井,栗東・矢作,先行,3.4,2,7,,33.9,498(+4),中山,20,中2週,Y,,3,ドゥラメンテ,Frankel,
2,2,コーチェラバレー,牡3,北村友,栗東・安田,差し,21.7,8,3,,34.4,432(-2),阪神,56,中7週,Y,,2,キズナ,Myboycharlie,
3,3,ロットブラータ,牡3,和田竜,栗東・平田,,63.4,9,3,,35.5,526(+4),中京,41,中5週,Y,,3,エピファネイア,ハーツクライ,
4,4,ネブラディスク,牡3,シュタ,栗東・福永,差し,10.6,4,3,,33.1,434(0),阪神,42,中5週,Y,,3,ドゥラメンテ,American Post,
5,5,エムズ,牡3,松山,栗東・池江,先行,6.0,3,1,,34.4,442(-8),中京,41,中5週,Y,,2,ドゥラメンテ,Not For Sale,
6,6,ナグルファル,牡3,浜中,栗東・杉山晴,先行,17.3,7,12,,38.1,506(+2),中山,62,中8週,Y,,3,エピファネイア,Bellamy Road,
7,7,デルアヴァー,牡3,荻野極,栗東・松永幹,差し,14.4,6,1,,34.1,480(+4),福島,21,中2週,Y,,3,Frankel,Smart Strike,
8,7,ショウヘイ,牡3,川田,栗東・友道,先行,10.7,5,4,,36.3,456(-2),京都,90,中12週,Y,,3,サートゥルナーリア,オルフェーヴル,
9,8,トッピボーン,牡3,武豊,栗東・笹田,差し,2.4,1,1,3歳1勝クラス,34.5,468(0),阪神,21,中2週,Y,,3,リアルスティール,ハービンジャー,
10,8,オーシンエス,牡3,高杉,栗東・宮,差し,182.9,10,6,,34.7,466(+4),阪神,56,中7週,Y,,3,デクラレーションオブウォー,ディープインパクト,
