馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,クレオズニードル,牝3,荻野極,美浦・和田勇,差し,14.5,7,8,3歳1勝クラス,35.6,440(-14),中山,35,中4週,Y,,3,ファインニードル,Seeking the Gold,
2,2,ハヤテノツバサ B,牡3,中井,栗東・杉山佳,差し,42.1,12,1,3歳未勝利,36.8,510(+16),京都,85,中11週,Y,,3,マジェスティックウォリアー,ディープスカイ,
3,3,フクチャンヒメ,牝3,小崎,美浦・加藤征,先行,19.4,8,1,3歳未勝利,37.7,470(-4),中山,57,中7週,Y,,2,ドレフォン,ダイワメジャー,
4,3,デボラ,牝3,小沢,栗東・西園正,先行,3.4,1,1,3歳未勝利,34.6,464(+2),福島,22,中2週,Y,,3,ビッグアーサー,エンパイアメーカー,
5,4,ホウオウブースター,牡3,長浜,美浦・高柳瑞,差し,24.3,10,10,,36.0,438(+8),小倉,70,中9週,Y,,3,ブリックスアンドモルタル,ダイワメジャー,
6,4,グランカメリア,牡3,川又,栗東・吉田,,6.9,4,1,3歳未勝利,38.3,488(+4),阪神,36,中4週,Y,,3,イスラボニータ,フォーティナイナーズサン,
7,5,ラトルシェ,牝3,菊沢,美浦・菊川,差し,21.4,9,14,,38.2,468(+10),福島,182,中25週,Y,Y,3,ミッキーアイル,Storm Cat,
8,5,ハイファイスピード,牝3,国分恭,栗東・宮本,差し,14.2,6,5,3歳1勝クラス,35.2,462(+8),中京,120,中16週,Y,,3,ビッグアーサー,フジキセキ,
9,6,オンザブルースカイ,牡3,菱田,栗東・谷,差し,7.3,5,5,,36.1,458(+2),小倉,70,中9週,Y,,3,ミスターメロディ,クロフネ,
10,6,ラヴェンデル,牝3,横山琉,栗東・吉村,先行,44.2,13,11,,37.8,426(+2),中京,155,中21週,Y,,3,キンシャサノキセキ,Galileo,
11,7,インターポーザー,牡3,亀田,栗東・高野,差し,6.0,2,6,,34.5,496(-2),阪神,63,中8週,Y,,3,エピファネイア,ルーラーシップ,
13,8,ソードマスター,牡3,斎藤,美浦・斎藤誠,差し,6.4,3,4,3歳1勝クラス,37.3,464(+2),中山,56,中7週,Y,,3,エピファネイア,キングカメハメハ,
14,8,アートコレクション B,牡3,角田和,栗東・角田,先行,29.6,11,13,3歳1勝クラス,39.6,478(0),阪神,57,中7週,Y,,3,パイロ,ヴィクトワールピサ,
