馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ドゥラルーナ,牝3,和田竜,栗東・清水久,差し,66.8,10,6,3歳未勝利,35.0,452(-4),京都,20,中2週,Y,,3,ドゥラメンテ,ダンスインザダーク,,
2,1,ベルジャッド,牝3,松若,栗東・高柳大,差し,178.4,12,15,3歳未勝利,41.3,410(-2),福島,21,中2週,Y,,2,ブリックスアンドモルタル,エイシンフラッシュ,,
3,2,オールザレイジ,牝3,松山,栗東・寺島,先行,3.7,2,2,3歳未勝利,33.7,496(0),京都,14,中1週,Y,,3,エピファネイア,ダイワメジャー,,
4,2,カナメイシ,牝3,高倉,栗東・北出,差し,387.9,17,12,3歳未勝利,34.7,460(+14),京都,14,中1週,Y,,3,モズアスコット,ヴィクトワールピサ,,
5,3,グルーヴィデザイン,牝3,池添,栗東・小林,,193.4,13,,,,408(0),,,,,,,ルーラーシップ,ディープインパクト,,
6,3,ナムラエン,牝3,吉村,栗東・長谷川,,10.2,4,,,,502(0),,,,,,,リアルスティール,エンパイアメーカー,,
7,4,スマートミストラル,牝3,川田,栗東・大久保,差し,2.4,1,2,3歳未勝利,34.5,428(-2),中京,63,中8週,Y,,3,エピファネイア,ディープインパクト,,
8,4,アトラーレ,牝3,鷲頭,栗東・中村,差し,253.4,15,10,3歳未勝利,34.9,424(-2),京都,14,中1週,Y,,3,リアルスティール,ロードカナロア,,
9,5,トウカイリュタン,牝3,酒井,栗東・北出,差し,113.0,11,8,3歳未勝利,33.9,390(0),京都,21,中2週,Y,,1,モズアスコット,ディープインパクト,,
10,5,エイカイソフィア,牝3,川須,栗東・梅田,,353.8,16,,,,418(0),,,,,,,ミッキーアイル,エイシンフラッシュ,,
11,6,モアサナイト,牝3,鮫島駿,栗東・小林,差し,25.0,8,6,3歳未勝利,34.3,432(-12),阪神,35,中4週,Y,,1,レイデオロ,マンハッタンカフェ,,
12,6,フロレンテム,牝3,浜中,栗東・田中克,,15.2,7,,,,486(0),,,,,,,サートゥルナーリア,シンボリクリスエス,,
13,7,スリーセンス,牝3,,栗東・中竹,差し,31.2,9,5,3歳未勝利,36.1,430(0),小倉,98,中13週,Y,,3,ドゥラメンテ,ストリートセンス,,
14,7,フライバイビーナス,牝3,坂井,栗東・茶木,,12.3,6,5,3歳未勝利,35.8,428(-8),阪神,27,中3週,Y,,3,エピファネイア,ハーツクライ,,
15,8,ウフルピーク,牝3,高杉,栗東・藤岡,差し,12.2,5,5,3歳未勝利,33.8,414(-2),京都,14,中1週,Y,,3,ロードカナロア,ディープインパクト,,
16,8,パールペンダント,牝3,シュタ,栗東・吉村,先行,7.9,3,11,3歳未勝利,35.4,442(+10),阪神,76,中10週,Y,,2,ルーラーシップ,ディープインパクト,,
17,8,エマダイヤモンド,牝3,田口,栗東・矢作,差し,214.1,14,11,3歳未勝利,36.0,470(+8),東京,20,中2週,Y,,2,サトノダイヤモンド,Gone West,,
