着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,3,コンティノアール,牡5,55.0,シュタ,1:22.4,,10,40.1,35.5,栗東矢作,536(-8)
2,1,1,スマートサニー,牡5,55.0,浜中,1:22.5,1/2,6,11.5,35.9,栗東石橋,476(+2)
3,4,7,ジャスティンアース,牡4,56.0,鮫島駿,1:22.5,クビ,1,3.8,34.9,栗東杉山晴,478(0)
4,4,8,ニシキギミッチー,牡5,56.0,古川吉,1:22.6,3/4,4,8.0,34.8,美浦鈴木伸,492(-4)
5,6,11,サンライズフレイム,牡5,59.0,藤岡佑,1:22.8,1.1/4,2,3.9,34.6,栗東石坂,520(-2)
6,3,6,アドバンスファラオ,牡5,57.0,松若,1:22.9,3/4,8,15.8,36.0,栗東森秀,490(-8)
7,6,12,エミサキホコル,牡5,55.0,長岡,1:22.9,ハナ,9,18.1,35.8,栗東杉山佳,500(+4)
8,5,9,サトノフェニックス,牡4,57.0,和田竜,1:23.2,1.1/2,7,12.4,35.9,栗東西園正,500(+7)
9,5,10,ベルダーイメル,牡8,57.5,酒井,1:23.3,1/2,14,125.3,35.3,栗東本田,464(0)
10,8,16,ロードフロンティア,牡4,56.0,高杉,1:23.3,クビ,11,56.5,36.2,栗東松下,456(-12)
11,7,13,バトルクライ,牡6,58.5,岩田望,1:23.4,3/4,5,9.4,35.4,美浦高木,500(-4)
12,7,14,アルファマム,牝6,56.5,幸,1:23.5,クビ,3,7.5,34.8,栗東佐々木,466(0)
13,3,5,タイセイサムソン,牡7,56.0,岩田康,1:23.9,2.1/2,13,105.4,36.4,美浦奥村武,502(+2)
14,2,4,タイセイブリリオ,牡6,54.0,田口,1:24.0,1/2,15,181.9,37.3,栗東大橋,488(0)
15,8,15,ハコダテブショウ,牡7,56.0,吉村,1:24.2,1,16,210.9,35.6,美浦相沢,500(-4)
16,1,2,サウンドアレグリア,牝4,53.0,高倉,1:24.7,3,12,67.8,37.4,栗東武英,498(-4)
