着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,6,6,ラブリージャブリー,牝3,55.0,三浦,1:33.2,,2,4.5,33.7,美浦蛯名正,428(+12)
2,4,4,モティスフォント,牡3,57.0,ルメー,1:33.3,1/2,1,2.0,34.7,美浦田村,494(0)
3,2,2,コスモアンソロジー,牡3,57.0,津村,1:33.7,2.1/2,6,13.3,34.7,美浦嘉藤,442(-8)
4,8,10,バセリーナ,牡3,57.0,野中,1:34.4,4,9,221.2,34.7,美浦松山,440(-12)
5,1,1,サザンティスプーン,牝3,55.0,横山武,1:34.4,クビ,3,5.3,34.5,美浦鈴木伸,420(-6)
6,7,7,マーズオデッセイ,牡3,57.0,横山典,1:34.4,クビ,5,8.8,35.4,美浦田中勝,500(-4)
7,8,9,ロードリベラシオン,牡3,57.0,横山和,1:34.5,クビ,4,7.5,35.7,美浦尾形,500(+6)
8,5,5,ホリーアン,牝3,52.0,▲遠藤,1:34.7,1.1/2,8,80.4,34.8,美浦萱野,434(-4)
9,7,8,オタマジャクシ,牡3,57.0,木幡育,1:35.1,2.1/2,7,49.4,35.9,美浦松永康,470(-2)
10,3,3,エメラルドラグーン,牡3,57.0,岩部,1:35.3,1.1/4,10,369.3,36.0,美浦伊藤伸,464(0)
