着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,9,ルトゥール,牝4,56.0,佐々木,1:50.0,,1,4.2,35.0,栗東中内田,486(+6)
2,2,4,トゥルーサクセサー,牡4,58.0,荻野極,1:50.0,アタマ,4,9.2,35.3,美浦高木,468(0)
3,8,15,ゴールドブレス,セ4,58.0,国分恭,1:50.1,1/2,6,11.5,35.4,栗東西園翔,434(+3)
4,7,14,メイショウタクボク,牡5,58.0,長岡,1:50.1,クビ,9,22.7,34.8,栗東高橋亮,460(+2)
5,6,11,ナムラブーニン,牡4,58.0,小崎,1:50.3,1.1/4,3,5.2,35.1,栗東高橋一,456(0)
6,3,6,マイネルフォルツァ,牡5,58.0,丸山,1:50.5,1.1/4,7,12.0,35.1,美浦金成,532(+12)
7,1,2,コスモバラタ,牡5,58.0,柴田大,1:50.6,1/2,13,67.6,35.7,美浦武市,470(-8)
8,6,12,チュウワダイオウ,セ4,58.0,松本,1:50.6,アタマ,15,172.8,35.4,栗東加藤公,442(-19)
9,4,8,レッドアーバイン,牡5,58.0,長浜,1:50.7,クビ,11,35.2,35.8,美浦手塚久,510(-2)
10,7,13,シェアホルダーズ,牡4,58.0,斎藤,1:50.9,1,10,24.2,36.4,美浦松山,486(+2)
11,5,10,ケイツークローン,セ5,58.0,亀田,1:51.0,1/2,2,4.3,35.7,美浦清水英,466(-2)
12,8,16,モアリジット,牡4,58.0,菊沢,1:51.3,2,5,10.4,36.5,栗東西村,500(-2)
13,4,7,ダノンウィルヘルム,牡4,58.0,柴田裕,1:51.4,1/2,8,15.9,36.2,栗東池江,486(+2)
14,3,5,ファイブセンス,牝5,56.0,永島,1:51.7,2,14,89.6,35.9,美浦高橋文,456(-6)
15,2,3,ウィズホープ,牝4,56.0,松岡正,1:53.3,10,12,64.0,37.9,美浦奥平,434(-6)
取消,1,1,ラブカ,牡4,58.0,小沢,,,,,,栗東今野,
