馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,タマモランプ,牡4,斎藤,栗東・池添,先行,19.1,8,9,4歳以上1勝クラス,35.3,466(+6),京都,22,中2週,Y,,3,サトノアラジン,キングカメハメハ,,
2,2,ブロードグリン,牝4,和田陽,栗東・中村,先行,57.9,10,7,4歳以上1勝クラス,37.3,444(+14),小倉,92,中12週,Y,,3,ルーラーシップ,アドマイヤベガ,,B
3,3,トリオンファルマン,牝5,角田和,栗東・笹田,先行,15.2,7,2,4歳以上1勝クラス,35.1,450(0),京都,22,中2週,Y,,3,キズナ,Distorted Humor,,
4,4,ゼンノインヴォーク,セ6,小沢,栗東・緒方,差し,5.0,2,2,,36.8,448(+8),新潟,22,中2週,Y,,3,シルバーステート,ハービンジャー,,
5,5,オーサムピクチャ,牝4,田山,栗東・佐々木,差し,70.6,11,7,4歳以上1勝クラス,35.0,418(+2),京都,22,中2週,Y,,3,キズナ,キングカメハメハ,,
6,5,タナバタ,牡4,酒井,美浦・武井,,89.4,12,9,4歳以上1勝クラス,41.6,488(-2),新潟,14,中1週,Y,,3,ルーラーシップ,アグネスタキオン,,B
7,6,サスケ,牡5,団野,栗東・西村,差し,6.2,3,6,4歳以上1勝クラス,35.3,464(+2),京都,22,中2週,Y,,3,エピファネイア,Whipper,,
8,6,レジェンドシップ,セ5,高杉,栗東・佐藤悠,先行,11.7,5,10,,37.9,446(+4),新潟,22,中2週,Y,,3,ゴールドシップ,クロフネ,,
9,7,ウールデュボヌール,牡4,田口,栗東・須貝,差し,14.0,6,8,3歳以上1勝クラス,34.4,500(+18),京都,364,中51週,Y,Y,3,キタサンブラック,ハービンジャー,,B
10,7,アップステート,牡4,小崎,栗東・福永,先行,23.8,9,4,2歳未勝利,34.0,536(-8),阪神,547,中77週,Y,Y,3,シルバーステート,ルーラーシップ,,
11,8,ヴィスマール,牡4,吉村,栗東・奥村豊,差し,2.5,1,2,4歳以上1勝クラス,34.6,454(+10),小倉,99,中13週,Y,,3,ブリックスアンドモルタル,ディープインパクト,,
12,8,シルバーカレッジ,牡4,鮫島駿,栗東・武幸,差し,7.0,4,9,,36.6,516(+22),札幌,316,中44週,Y,Y,3,エピファネイア,クロフネ,,
